aircraft_type,distance_km,passengers,cargo_kg,altitude_ft,wind_speed_kmh,temperature_c,engine_age_years,fuel_kg
B787,13345,63,2784,41044,54.1,13.6,6,61261
B777,13486,272,2257,29044,83.8,14.0,9,64219
A320,2776,256,16223,26719,29.7,21.7,15,20330
A320,1966,274,6883,40554,90.5,21.7,1,13041
A320,7576,264,2564,27907,15.8,31.0,19,37295
B787,4434,480,11494,28917,8.8,-6.7,3,28465
B787,3897,353,10748,38198,77.0,42.3,13,23760
B787,1930,315,6044,33469,97.3,0.1,9,14080
B737,9311,290,3837,38298,91.6,11.8,19,46154
B777,13240,231,7740,27269,65.0,36.3,3,63414
B777,7953,423,11388,25684,5.6,29.3,10,44158
A350,721,76,1709,25468,98.1,52.4,5,5000
A380,10172,444,868,41250,59.9,-1.1,15,50352
A350,4350,443,8773,32864,93.5,10.7,16,28510
B777,2529,284,15861,27394,24.8,34.6,5,19026
A380,9715,472,90,26537,53.8,33.8,16,49750
B787,1353,134,6305,30743,1.7,2.5,19,7571
A350,13790,200,3184,33259,2.9,39.2,6,66927
A320,2094,79,16806,35673,10.7,34.8,9,15031
B787,5562,497,13082,27704,10.5,12.3,14,33757
A320,10662,381,6231,40685,71.0,25.0,16,51644
B737,955,319,11822,30227,49.8,34.7,3,10141
A320,5413,374,10566,33567,25.2,43.8,9,30850
A350,11181,129,18602,34866,24.0,5.3,9,55799
B777,7981,494,1141,25273,60.2,27.0,2,41355
B787,7837,458,17337,38967,16.8,22.0,9,45524
B737,10527,358,18602,29564,47.0,34.3,2,56048
A380,7170,376,1764,38521,50.5,28.7,7,35287
A320,10623,449,3922,30318,49.7,17.8,16,53129
A380,4681,455,17,40642,97.2,21.9,4,26235
B777,3563,151,3245,39489,21.9,8.8,10,17532
B787,9424,297,10267,39686,77.8,19.2,10,48781
B787,5557,111,1683,33845,90.3,34.8,2,27773
B777,6420,313,3469,35965,63.9,35.2,14,33189
B777,8097,187,7553,28652,76.6,18.8,10,41795
B787,5854,416,9399,27418,58.5,20.6,19,32949
B787,9259,462,10142,31860,55.3,27.9,11,48855
B777,760,353,7698,37959,66.3,14.0,12,9564
B787,554,117,4108,29437,29.4,21.5,17,5480
B737,11613,106,5879,36721,39.7,-5.7,7,52960
A380,1654,420,11324,27960,30.2,24.1,11,13112
B737,13079,289,13530,27935,60.8,35.0,13,66348
B737,10250,385,13252,35150,92.0,27.0,14,55853
B737,3441,192,16843,36358,4.3,42.5,17,21011
B777,7649,76,16450,26939,7.7,8.0,11,39893
A320,5040,115,16667,41509,28.6,7.0,17,29263
B787,6102,56,8496,32495,16.2,23.1,9,29995
B737,10602,160,4627,41354,21.0,35.0,7,50497
A380,10177,149,15527,28231,74.4,18.0,18,51820
A380,696,208,11185,28869,38.6,6.3,3,7979
B737,4883,323,5125,41423,8.4,30.9,11,27015
B777,12043,184,17846,41287,4.0,27.5,12,63313
B777,7722,283,13465,37020,29.3,31.0,6,41080
B787,13881,293,6482,34081,83.3,9.6,16,66662
B777,6825,331,7106,28887,9.6,4.2,1,35248
B737,7992,164,10225,40301,49.5,18.8,9,38106
A380,1145,211,14751,34985,54.9,23.0,8,10770
B777,9301,181,348,36510,16.5,9.1,13,44130
A380,12097,104,15640,30669,75.7,-0.1,9,59434
B737,1435,390,6347,27807,87.8,34.6,3,12066
A380,9734,362,18463,35470,51.1,38.0,2,51163
B737,13426,61,19239,31616,15.4,25.1,4,65943
A350,3055,119,13090,25225,0.1,12.0,2,19503
B787,2178,331,19733,32554,3.5,2.8,6,17400
A350,4344,176,6225,37513,68.9,23.5,12,23114
A380,1137,452,3774,32313,2.3,4.2,9,9574
A350,1900,92,2630,40041,5.2,34.9,3,9647
A350,3966,485,14785,29580,82.5,5.7,2,26928
B737,1676,213,13039,36157,31.3,16.4,2,13905
B777,887,202,1422,33185,21.0,15.1,18,6393
A350,942,227,13311,36167,63.2,14.6,7,12643
A350,6449,354,13156,31096,16.5,23.9,16,37909
A350,9546,480,9999,26760,85.8,43.6,4,50548
B737,5545,439,7468,29355,31.7,43.7,7,31114
B787,12346,279,17403,25060,80.8,32.1,2,61880
B777,1844,308,3468,30732,53.0,43.1,18,14146
A380,687,264,1117,28504,50.6,36.6,11,7279
A350,3778,467,10072,30586,43.0,23.4,2,24406
B787,5593,332,12169,28188,58.9,25.6,19,32610
A320,1340,382,16724,36565,72.1,23.6,17,16106
A350,3250,193,16040,25058,6.7,33.4,19,22944
B737,2568,496,1927,28297,9.1,3.9,1,16437
B777,5252,136,1138,36432,38.2,18.2,15,24195
B737,11002,425,12669,32569,73.9,33.3,3,58441
A380,10375,497,4825,40269,20.8,8.6,8,53907
A380,3706,101,13378,26179,90.1,34.6,19,21845
B737,5311,103,2346,35095,29.5,19.4,8,25312
B777,1118,481,1476,30039,39.3,27.6,10,10171
B737,5216,228,3713,27177,17.4,7.0,4,28302
B787,4395,425,12684,34390,73.9,47.0,1,28607
B787,6752,120,17265,37112,71.3,18.0,18,34820
B777,6682,234,7030,31919,84.5,50.6,1,34813
B777,3687,437,10885,36766,31.1,10.8,14,23577
A380,632,108,13430,30613,98.9,18.5,6,8277
B787,1766,266,1040,39465,92.3,10.7,4,11180
A320,11731,496,368,37282,12.9,-0.7,14,56342
A350,2070,198,8218,36627,66.5,23.8,4,12513
B737,12668,419,10649,35422,71.4,14.9,3,64128
A350,12765,168,15987,25457,88.6,-1.8,12,65617
B777,11954,241,15929,30743,5.1,49.4,9,59662
B787,5088,113,6543,41948,4.6,28.3,3,26603
A350,13689,204,5948,28503,72.5,39.3,3,66495
A320,13997,339,19135,29216,92.9,-2.4,13,69873
B787,6215,185,197,31099,1.5,37.0,16,30195
B777,1711,295,13265,29793,64.1,10.3,4,16761
B737,3983,73,8165,28970,10.3,31.4,2,22133
A350,1278,346,3653,34783,52.4,17.8,11,11889
B737,13006,175,3264,31785,7.3,15.3,3,62561
A320,5063,221,9385,35963,15.2,8.1,17,25916
A320,11712,379,8899,25322,16.2,21.1,2,59056
B737,8408,74,19742,31710,65.3,27.0,10,44513
A350,8032,439,6490,29838,14.4,10.7,13,42850
B737,6432,346,4321,29978,6.0,5.8,14,32837
A320,3822,205,3672,25776,10.9,24.5,15,19920
B737,9030,427,13412,33224,51.1,32.6,13,49811
A380,11378,214,16040,31598,93.3,12.6,14,58221
A380,11041,120,8033,27940,94.9,27.5,15,54587
B777,10477,402,12947,32344,79.4,24.0,8,55190
A320,1429,455,8170,41660,65.2,-4.1,15,13350
B777,5831,121,3048,25689,91.2,7.6,17,29422
A350,856,375,9648,31119,89.7,16.6,4,8963
B737,2105,178,11089,36786,68.2,17.2,15,15756
B737,6948,82,10193,25553,45.8,31.3,2,35244
B737,7220,378,86,32963,90.4,10.6,16,36893
B737,9715,289,9039,32640,93.4,40.1,7,47766
B737,8902,467,10896,41523,57.6,1.5,15,47244
A380,11166,333,6154,40730,81.4,15.1,1,56892
B777,12137,88,19217,37748,98.6,18.3,17,60008
A350,12455,405,17716,35362,61.0,55.0,18,65960
B737,3749,348,511,39696,65.5,6.2,9,20169
B787,11576,422,11269,28045,85.9,21.2,19,60630
A320,6690,132,14419,25828,75.6,20.4,19,36667
B777,1542,57,10472,30500,85.2,37.0,9,9534
B777,7426,457,19796,31082,78.7,13.2,17,44447
B737,10308,331,17940,33574,78.5,29.8,19,53902
A350,5819,432,15393,40665,86.5,31.3,18,36177
A350,12150,288,7107,38640,95.4,32.5,5,61795
B787,1568,193,2398,27941,59.8,21.3,9,8634
B737,13048,216,16410,27297,16.2,21.2,10,66267
B787,9854,448,6986,39313,85.1,2.6,3,50473
B787,12588,281,3189,39531,88.2,24.5,14,60922
A380,2350,350,19075,37625,38.0,14.8,5,19441
B737,5639,391,12620,38792,6.9,6.0,13,33555
A320,2525,379,12016,38578,31.4,15.7,9,19263
B777,7541,381,14655,30107,19.1,-1.6,3,43413
A320,5833,204,9335,35969,19.1,10.9,7,32695
B787,8278,66,10823,40098,38.4,9.5,14,39833
B777,11183,258,14839,35929,38.8,41.9,9,56867
A350,1956,334,7825,29238,20.2,14.8,15,14517
A380,13695,86,15865,26878,28.9,32.1,3,66131
B777,12078,82,14925,34290,87.2,42.6,1,59282
B737,5830,288,10674,30143,97.5,6.4,18,32520
A380,1936,120,17842,41746,56.2,28.4,15,13713
A320,13611,72,4902,27041,85.2,7.6,7,65363
A320,6177,422,19762,34055,39.1,13.9,17,39071
B787,2808,58,19732,30686,25.3,17.0,8,17872
B777,2901,55,8052,41331,22.7,20.8,3,17296
B787,3881,181,11918,37327,78.0,34.2,3,23507
B777,3758,479,11577,38304,29.1,11.0,10,24258
A320,8937,401,19952,39479,52.0,25.1,16,49734
B777,4104,112,4423,41880,26.4,19.2,16,19728
A350,12936,400,11413,30883,54.0,-8.1,4,65072
B777,630,212,766,29322,5.3,34.0,12,5853
B777,10520,60,162,38795,65.1,18.3,13,47555
A380,12058,142,2962,35352,54.9,14.7,13,56622
A320,7008,343,13032,36588,8.0,8.6,17,39103
B777,3864,178,11764,30523,2.6,16.2,2,23628
A350,3355,178,9242,36051,29.9,42.3,13,19709
A380,2698,375,9430,33680,30.2,25.7,3,20386
B777,11863,155,1259,28886,27.7,15.0,17,55859
A320,2971,497,13883,37466,88.4,25.6,16,22260
B787,4207,170,19436,32509,74.2,-4.9,15,25851
A320,6843,393,5890,30935,44.6,18.3,10,35592
B737,900,178,7309,35560,21.9,34.8,13,8029
B777,11823,313,17712,37541,48.4,27.2,16,61644
B777,13745,299,16588,34285,67.4,32.2,17,69388
A350,7459,270,3534,28549,41.7,24.8,16,36046
A350,8092,102,4770,28292,93.4,3.1,2,38099
B777,9088,201,14201,32591,31.7,4.1,14,46456
A350,12955,238,2880,34619,19.4,2.4,18,61751
B787,13294,408,7954,31682,67.4,24.9,8,68576
B777,7239,235,15115,29151,37.9,21.5,15,39801
A380,11613,499,226,30533,4.5,46.1,3,57136
B787,7319,320,6855,28798,29.9,21.2,15,38812
A350,7644,153,4172,33110,94.5,50.2,6,36308
B737,7499,261,17937,39879,19.7,30.5,14,41443
B737,13948,292,6004,34145,60.0,24.1,17,68556
B737,13384,379,1358,38162,34.0,30.5,9,65806
A380,5576,309,1973,36445,64.1,7.2,11,29211
A320,1274,499,8685,28674,82.5,16.1,19,11499
A380,12719,333,184,40127,42.9,0.2,5,60248
B777,7230,131,7426,40046,46.2,27.0,1,34641
B787,12968,298,10963,35893,54.0,16.2,19,64686
B737,6177,418,6009,30869,20.5,3.9,16,33283
A380,11664,421,5104,41773,91.1,-15.5,11,58638
B787,12410,483,12682,32084,55.8,-1.3,12,64628
A380,6413,337,11628,35856,37.6,27.2,7,37096
A350,9576,87,11937,39703,56.9,15.3,18,48328
B787,2469,468,10744,37179,88.4,27.5,1,20031
B737,8714,256,19869,26411,47.6,-3.3,10,46814
A380,13579,495,19926,40824,21.4,4.4,8,71068
A320,628,385,3456,40266,93.9,-6.5,12,7017
A380,1369,436,19927,35029,98.9,42.1,6,14843
B777,5650,171,12588,33517,84.3,27.0,12,30669
A320,6921,245,5176,41798,56.7,11.4,18,34282
B787,538,396,15749,33178,49.6,-0.8,9,11997
A380,6942,164,12747,40268,45.4,19.1,7,35860
A380,5278,392,270,30294,26.6,-8.6,6,27452
B787,12107,387,17559,32699,67.4,28.1,13,63365
A350,3662,481,9783,41530,86.9,15.7,6,25458
B737,5003,425,5179,40209,7.8,41.1,10,26345
B777,3027,421,17963,35246,29.9,26.8,6,23629
A320,12113,279,2547,35052,48.8,13.5,1,58854
A380,4996,262,7314,39682,22.5,-18.0,18,27737
B777,2893,113,4105,39973,18.6,47.2,14,15103
A320,8009,303,2394,26535,81.1,15.7,14,40188
B777,5996,379,10099,31741,55.2,28.9,10,33268
A380,7009,280,15781,27624,98.1,19.5,19,38531
A350,8982,475,4886,29183,2.7,24.2,5,46274
B777,2760,361,19650,29996,91.6,6.7,10,21772
A350,6708,140,8640,37885,80.7,5.4,3,32890
B737,4483,370,8298,39899,91.4,-4.1,4,25873
A320,2208,461,17794,37113,4.6,30.0,2,19590
B777,6691,132,10044,30430,81.7,37.5,15,33761
B787,5900,191,19526,25978,30.4,50.1,16,33804
A320,7535,287,3413,39304,63.0,8.1,19,36566
A350,983,79,2350,41473,43.6,12.7,17,5511
A350,11259,240,2962,39377,94.6,29.5,3,53935
B787,8703,357,3866,33871,12.5,23.0,17,44259
B737,5593,54,3348,30393,38.5,19.9,2,26861
B777,10056,321,8667,28255,2.7,19.8,5,49290
B737,9481,266,1616,40224,72.2,11.7,6,45399
A320,11142,117,18371,35517,86.1,21.5,9,56922
B737,2155,452,6254,35022,16.6,28.2,1,16863
B777,6254,321,14516,34647,60.6,-24.2,12,34610
B737,10441,369,5972,41651,21.8,12.3,15,53905
B777,2071,384,6752,38943,13.5,45.3,17,14427
B777,12631,117,15182,25046,60.0,30.4,15,62571
B787,6890,107,1438,41043,20.5,8.2,5,33113
A320,12925,431,4055,33836,42.5,22.8,11,62914
A380,11218,461,2512,34185,52.6,29.6,17,57074
B787,3524,170,19942,36836,9.8,19.8,16,21824
A380,12846,119,408,33977,58.6,50.1,6,60697
A320,4444,125,18234,31558,55.9,-3.3,19,26389
B737,7548,210,10474,32707,73.7,14.5,10,37369
B737,3925,99,4351,41274,43.5,19.3,18,19185
B777,4383,314,18438,31128,51.0,14.4,14,27210
A380,5560,153,18276,37895,32.3,11.4,18,32536
B737,6473,232,19194,40268,29.0,7.4,13,35969
A350,3828,377,1913,28037,12.4,54.7,2,21038
B787,3707,193,13804,31565,66.1,20.9,15,23766
B737,9577,418,10310,25708,4.9,34.4,3,50135
A380,3315,183,10981,33722,61.9,19.2,2,20553
B777,3303,64,15907,41047,10.9,35.4,15,21671
A380,13203,90,9595,34967,1.3,13.2,16,62768
B777,1069,117,9918,40555,50.7,46.8,18,8829
B787,13786,199,9156,28030,31.0,-0.2,17,66464
A320,2876,281,16363,27814,29.0,14.9,2,19717
A380,2391,371,8548,34725,28.0,12.6,3,15733
B787,10771,143,19347,28487,48.0,37.6,10,55682
B777,13499,236,18642,38307,23.7,5.1,5,70259
A350,13958,85,18160,28494,98.8,14.2,11,70150
B787,13879,346,16697,39973,73.9,19.2,2,70915
B777,5897,461,4574,40467,66.8,16.5,4,31033
A320,13857,499,10987,32358,33.1,-4.7,7,70946
A320,4664,277,2227,37457,93.6,14.7,1,24598
B787,13337,209,14232,39004,88.6,32.0,2,66960
B737,3875,230,10598,38273,37.3,12.6,4,22873
A380,6349,355,2686,39511,3.2,26.1,4,34266
B737,9825,90,14132,27671,57.4,32.3,18,49650
A350,12308,93,5469,28587,35.1,35.3,12,57334
A320,5639,181,14394,34337,64.8,31.2,14,31453
A350,6020,296,9841,33757,71.1,34.1,15,31996
A380,5178,328,3188,41237,95.8,27.5,5,26954
B787,7419,57,10697,29736,65.1,9.4,18,36010
B737,3558,389,3624,26657,4.6,24.4,3,19962
A350,5274,378,14594,26232,15.2,13.8,11,33108
A380,9518,398,12421,39321,59.0,20.7,13,50202
B737,12915,212,5903,36357,41.1,49.8,1,62042
B787,11504,130,7258,39649,52.9,47.8,19,56582
B737,5156,256,6246,27151,49.5,0.6,8,27460
B787,6023,358,606,27479,61.7,14.0,1,29152
A350,2065,427,10791,41380,83.4,20.7,18,17567
A320,6708,76,8628,38845,79.0,22.9,2,33978
B777,2620,297,8326,35489,87.2,18.9,13,18519
B787,3700,497,17288,39775,59.5,41.9,12,25909
B787,10825,171,166,31273,14.9,6.9,1,49002
A320,8734,424,5750,32111,31.3,25.0,13,44754
A380,9828,69,8723,40815,10.5,25.4,4,46263
A350,4320,452,8744,41065,17.6,37.2,11,26500
B777,3622,491,17,35066,38.2,29.6,5,21206
B737,11339,482,5166,40055,1.0,25.2,11,56178
A380,9629,205,10667,40074,18.6,43.8,1,47843
A380,10942,157,10686,37197,39.0,34.3,19,53552
B787,5886,388,18667,31531,50.4,34.0,2,35399
A350,2942,415,9571,38410,64.7,48.6,8,21016
B737,11027,381,15533,32977,55.3,10.2,9,58481
A350,3877,153,4993,34574,96.5,31.2,8,19579
B787,6412,221,16949,27243,37.4,34.1,16,34812
A380,10182,349,9327,34705,81.7,13.8,18,48822
A320,10746,407,224,40310,35.0,27.1,9,52769
B787,12469,274,6315,30089,45.5,17.7,15,62076
A380,11941,384,3881,30086,47.3,3.6,16,58087
A320,11405,116,2615,28600,61.4,23.7,13,53188
A380,1189,94,6816,39620,96.4,22.6,16,7746
B777,3133,474,17940,38998,15.2,12.2,17,23790
B777,12767,419,9948,40089,97.5,0.9,5,64563
B737,13329,386,9249,26690,12.4,29.1,11,66161
B737,5779,74,10135,34914,20.5,1.9,17,29862
B777,9928,360,18263,37952,82.0,25.8,15,54060
B737,2822,147,11608,25872,57.8,18.8,10,18076
B737,13954,91,9413,36386,67.4,17.5,11,67847
B787,774,438,1649,32450,51.1,27.5,8,7243
A350,9175,147,10651,27250,71.6,32.3,5,45751
A380,12274,50,4754,28599,48.1,24.4,7,56960
B737,13282,470,14236,37480,86.9,22.8,13,67075
B787,7324,291,17282,38930,69.7,8.7,4,41826
B737,12588,183,16332,27494,63.2,20.3,5,64020
B777,4546,488,14135,38303,99.3,19.1,9,31049
A350,12157,203,17808,29467,49.2,12.1,4,63265
B777,4661,329,5755,33890,5.7,26.5,8,26008
A350,8781,100,6899,26059,9.7,35.7,1,41983
B737,7919,238,16336,33871,72.0,1.9,7,42796
A380,11600,310,8067,34601,4.9,37.7,9,57873
A320,13969,280,7022,36415,73.6,27.6,13,67375
B787,8589,345,13338,28965,16.2,21.0,8,47096
B787,2851,87,2193,30973,0.1,30.0,14,15784
A380,2408,119,13313,30570,13.3,-6.2,13,16493
B777,11132,387,7365,31217,33.0,38.4,7,54976
A380,6848,75,11235,32463,55.6,1.1,9,34552
A350,12778,302,12054,38926,76.6,26.6,3,64366
B787,2432,174,18283,26034,67.0,24.9,19,19916
B737,11542,469,6513,39047,19.9,31.9,6,57842
B787,930,398,3842,30634,99.1,25.3,9,9069
A320,5677,287,9885,31030,51.9,42.7,2,32083
A380,1746,259,14059,41620,48.6,52.9,5,15491
B737,7409,69,7622,27351,27.9,28.1,5,36057
B787,4885,203,11201,28522,16.1,19.4,7,26107
A380,2383,164,13648,33512,87.5,27.6,17,16408
B777,10577,73,14987,31006,1.0,22.6,5,50480
A380,4174,463,14199,25096,42.7,22.9,8,27630
B777,5589,410,5892,39888,54.5,22.5,15,28920
A380,8290,490,15320,32560,4.1,11.3,15,46795
B777,2126,466,11018,26094,19.1,16.4,10,16976
A350,4004,397,16083,28347,5.7,19.3,15,26651
A320,12903,410,8301,41207,98.7,6.8,11,64672
A380,7709,215,8307,26632,70.6,34.5,7,42097
A380,1326,191,7108,34299,70.6,-2.7,2,8569
A380,5707,262,4352,40488,82.2,39.4,11,30690
B737,8715,423,15107,32347,81.0,17.2,10,46981
B787,7050,304,4866,40922,13.0,2.1,6,35755
B737,9430,60,13643,40323,89.8,35.1,10,46776
B777,10237,440,18509,37883,13.7,31.2,12,55430
B787,12185,99,14043,25351,93.6,19.0,2,60012
B787,3927,279,16851,41286,3.4,48.1,12,26245
A350,10200,334,13916,33806,66.5,35.8,19,52275
B777,8853,121,4882,39987,12.8,17.6,18,41670
B737,7099,421,6158,25027,81.7,20.8,6,37542
B777,10429,99,15120,25717,41.3,47.6,2,52554
A350,2634,106,5693,41563,44.7,32.9,8,14947
A350,5459,304,6270,36156,41.9,-3.0,16,31437
B787,6369,403,6821,40513,49.5,48.4,2,35805
B737,3577,103,1202,38737,3.4,42.2,19,18248
A350,8616,406,7331,28793,76.9,26.1,9,43180
A320,558,207,11114,38580,94.4,11.7,12,7870
A380,4128,93,16331,28404,59.8,20.0,16,25722
A380,5068,308,17343,40320,30.3,-0.8,4,32615
A320,12635,457,7628,34459,18.2,12.2,7,63092
B787,13754,499,10705,28306,36.9,4.2,15,68968
A380,6740,95,9549,32823,64.8,45.5,15,33510
A320,8774,424,7555,31644,39.7,20.0,2,47456
B777,5528,431,5136,36572,80.8,-18.0,13,30630
A350,1079,411,3679,30627,94.0,24.0,1,9977
A350,11438,92,3148,41294,23.7,24.5,7,52017
A350,13732,492,783,37825,16.8,24.7,16,66860
A350,12323,499,7910,28413,41.4,42.8,17,64331
B787,3434,402,16951,32127,65.5,11.0,12,25251
A320,3521,303,19420,27364,73.6,28.4,10,24341
B787,10396,375,17761,34069,23.1,19.8,13,53228
B737,11412,58,3552,37929,24.1,24.4,7,53000
B787,13755,196,13493,26496,54.4,15.0,2,67990
A380,13184,287,1225,25016,35.7,27.7,1,61413
A320,7512,146,839,41737,29.9,18.9,4,36379
B737,12594,439,17277,34808,52.1,25.6,8,66642
B787,4453,183,8412,39814,83.4,23.4,17,23583
B787,1224,239,9911,29748,51.4,18.1,8,9296
B777,2466,448,11149,41908,91.0,24.0,14,20345
B787,1725,432,6909,25168,12.3,21.2,13,14737
B777,2202,231,1068,26177,89.8,25.0,17,11568
B777,9837,328,2850,30542,94.4,13.6,16,47208
A320,13610,135,15485,38372,90.4,17.1,11,67125
A320,8810,330,1604,38065,17.1,-2.7,4,43927
B777,12885,398,19907,33316,22.7,7.4,11,67228
B737,9760,394,303,32276,62.3,-5.0,14,47913
A320,6276,258,1688,37174,89.2,9.1,17,32220
A320,11606,363,1498,28318,1.1,39.8,1,56848
A380,6529,364,18986,26035,80.0,9.4,4,38763
A380,1131,301,10526,25371,57.7,48.8,9,11135
B777,7508,282,8931,39063,34.6,7.9,13,38325
B787,5903,155,11734,40847,71.2,1.5,10,31117
B777,7628,142,586,33702,51.6,18.9,15,36535
B787,6211,450,9227,25709,17.4,23.7,13,33293
B787,10037,108,3093,34406,6.6,3.8,12,48075
A380,10942,232,6178,34178,46.3,19.7,10,53554
A380,1958,144,7806,29672,57.1,-7.6,15,11421
B787,8727,153,3845,38665,36.5,21.4,16,40830
A380,6131,86,7796,39164,30.6,-0.5,6,30949
B787,11266,461,37,36780,34.7,26.7,4,55329
A350,9097,401,15493,39900,92.1,10.1,5,49664
B777,4030,265,2463,30704,2.6,23.3,18,21462
B787,8584,118,15282,29847,39.4,22.9,6,45576
A350,9525,423,17878,31263,74.3,8.7,2,52453
B787,6245,122,618,37999,23.4,-13.1,14,30141
B777,2589,163,13833,26706,37.8,22.5,19,18402
B737,12277,446,10926,35104,53.0,11.8,14,62989
A380,11763,344,15351,31621,94.7,18.2,18,60699
B737,8205,118,428,41389,56.8,33.4,15,41003
A380,10677,489,18199,34076,79.6,30.7,2,59561
A320,9323,181,19743,41103,24.6,0.9,14,49255
B777,12725,365,6043,36698,38.0,25.8,12,63146
B787,3883,313,2523,38812,13.6,13.2,11,21419
B787,7937,185,14429,41938,58.9,18.3,8,42382
B737,9970,116,18150,36207,77.9,19.8,9,51857
B777,4013,239,4526,38479,24.6,33.2,17,19516
B787,10160,54,13296,30107,32.5,47.4,13,48664
A350,3623,343,6142,27437,87.1,10.6,3,21755
B787,9658,262,5936,29444,0.5,34.5,3,48370
A320,10773,364,16806,38929,59.1,21.1,6,56623
B737,6964,262,16798,34134,51.8,51.5,13,38241
A350,5776,387,1834,32303,65.4,28.9,16,29154
B777,3886,347,11480,28599,45.4,30.5,6,22198
B777,7698,163,14316,25866,28.0,14.5,13,41177
A350,13928,58,6261,34584,46.5,8.0,18,65069
B737,8840,396,5152,36306,29.0,-6.8,3,45869
A320,8644,89,19857,32467,10.8,22.2,1,47344
A320,2934,172,9140,41753,18.3,28.5,1,16757
A350,5066,163,7727,39824,41.1,53.1,12,26495
B737,13052,216,8854,39829,48.9,26.2,2,62689
B737,5445,213,16406,34969,68.8,23.3,16,29860
B787,6680,379,5449,37055,64.9,29.3,8,35209
B787,1371,214,12112,31748,44.1,36.2,3,13110
B737,10325,352,18534,30947,71.2,35.0,11,54481
B737,9944,198,2552,25978,86.7,-0.7,16,47731
B737,7725,358,9969,39514,40.1,-5.6,6,40108
B737,6712,361,608,31425,37.0,31.7,10,33239
B787,12926,74,1990,35726,99.8,16.9,8,59783
B737,12082,478,13084,29465,36.4,22.7,17,64817
A380,3279,120,17828,37445,84.2,14.8,19,22632
A320,2974,404,18740,40424,65.9,21.4,17,23019
A350,10673,192,19903,39722,65.5,-1.5,4,55075
B787,11482,478,4047,28737,58.0,27.7,3,57754
A320,11263,236,13254,25498,88.3,6.2,9,55408
A380,2214,195,11711,32599,9.2,-1.5,19,16060
A380,13633,442,3062,32528,37.0,13.9,5,66442
B787,4242,424,22,37288,35.3,12.4,8,24801
A320,5498,68,16825,30328,2.9,23.0,15,31036
A350,4102,51,5658,40005,27.6,34.2,9,20612
B787,1889,366,2594,28869,84.0,13.3,15,13852
B777,4375,384,14131,25487,9.2,30.0,17,26347
A380,3265,312,15565,39715,99.7,24.2,18,20759
B777,7477,124,15834,35610,58.7,8.9,14,40603
A320,7874,178,8612,32150,72.5,31.4,10,39466
B787,3414,50,7622,29722,90.6,3.8,5,17384
B777,3435,177,3036,36318,30.7,43.2,12,19054
B737,13826,233,2087,33399,52.2,20.7,7,66650
A320,8848,258,11227,35085,68.0,52.8,12,44922
B777,12368,69,6204,32680,80.1,34.1,19,57944
B787,3977,110,9967,35375,68.3,12.4,9,22932
B787,13396,369,10942,41283,96.7,42.7,1,66824
B737,7648,97,11008,38977,25.3,24.5,5,37952
A350,4533,73,13077,40949,97.2,25.4,6,23537
B777,12281,481,10429,26085,60.5,19.5,2,62673
B787,12331,290,13896,33338,89.9,45.2,11,62672
B737,1924,416,66,27733,16.1,24.7,7,10995
B737,6035,304,13117,29391,36.7,41.3,11,33293
A350,944,98,12894,29774,21.8,16.5,2,9843
A380,8326,475,11367,31031,64.6,28.8,17,45085
A380,3059,476,9860,27363,1.3,42.8,11,22720
A350,956,292,9332,32781,14.5,48.1,2,10056
A380,12511,430,1649,30411,41.2,24.2,4,63583
B787,13434,473,17539,32235,51.3,39.1,13,69744
A350,8802,89,15726,34191,46.8,21.6,11,46837
B737,13389,251,9567,36402,96.1,39.9,10,65760
A320,12561,351,15772,32583,90.5,13.5,16,64417
B777,8790,290,16114,34595,79.6,44.9,17,47723
A380,3849,127,8432,38234,53.5,21.1,4,20325
B787,9047,359,9827,33537,55.2,13.6,11,47563
A320,12745,288,14783,38430,27.2,50.6,3,65048
A320,4267,394,2675,34048,68.7,28.4,19,25339
A320,12996,116,10665,27030,63.8,22.8,5,63991
A350,5624,76,19591,37742,44.9,12.3,8,33565
A350,6517,318,6700,30397,46.7,31.0,15,34315
B737,1512,212,18684,32317,78.3,22.5,1,15413
B787,6360,470,2881,28410,68.8,1.2,9,33442
A320,9181,259,13612,33061,6.2,20.3,16,48022
A380,1174,63,7905,34455,12.2,4.9,16,9416
B777,12526,451,3244,33933,88.3,9.1,9,61494
B787,4856,229,17264,26835,46.3,19.1,8,30224
A320,13057,382,10968,38128,51.6,-3.4,9,65842
A350,13917,409,13012,30535,75.9,-0.9,7,70512
A380,12093,335,13382,35354,69.9,27.1,4,61897
A380,10523,392,14927,30947,32.2,41.8,8,55332
A320,3745,398,15953,30049,68.1,24.0,12,25475
B787,11529,200,17978,30584,81.3,28.5,16,58004
B787,12135,222,16457,29828,94.1,23.5,6,62193
A350,3305,339,16127,27105,52.2,35.3,9,24239
B777,4975,182,3128,30364,68.9,18.5,12,23623
B787,9493,400,11504,37984,88.0,54.4,12,51789
A350,11482,476,15839,40204,59.4,30.3,12,61836
A320,8376,271,14159,35029,84.2,21.1,17,44271
A380,3475,489,6568,37738,73.9,11.2,11,21754
A350,12056,131,18967,41888,35.5,12.5,17,62582
A350,1784,364,3293,32644,80.8,21.7,9,12109
B737,2815,426,16090,34670,37.7,12.8,4,23458
B787,11065,497,18184,26858,42.1,1.6,2,60700
A320,12350,373,10499,29672,75.3,19.9,13,62666
