origin,destination,days_before_departure,season,seat_class,airline,distance_km,demand_score,competitor_price,is_holiday,price_usd
NRT,JFK,75,summer,Economy,EuroWings,13260,0.83,1710,0,1083
NRT,BOM,349,summer,Business,SkyMind,8768,0.49,1107,1,607
SIN,BOM,172,winter,First,AsiaJet,2809,0.97,685,0,279
SIN,DXB,42,winter,First,AsiaJet,8408,0.91,404,0,647
LAX,LHR,157,summer,Economy,EuroWings,9717,0.55,1871,0,683
SYD,SIN,335,spring,Business,AeroGulf,10756,0.44,1288,0,1949
BOM,DXB,81,winter,Business,AeroGulf,4939,0.0,1340,0,312
SIN,JFK,208,winter,Business,AeroGulf,13727,0.71,1487,0,5070
JFK,SIN,314,summer,Business,SkyMind,11433,0.56,1926,0,2103
DXB,FRA,86,summer,Economy,AeroGulf,13633,0.94,630,0,5067
LAX,JFK,232,spring,First,EuroWings,13818,0.59,383,1,5053
LAX,NRT,177,spring,First,AsiaJet,6889,0.99,1485,1,609
LHR,FRA,107,autumn,Economy,EuroWings,13773,0.85,1491,0,5102
SIN,SYD,139,autumn,Business,EuroWings,12691,0.95,540,0,4760
SIN,BOM,102,summer,First,PacificAir,11920,0.33,1568,0,4334
DXB,BOM,310,autumn,Business,SkyMind,12961,0.15,1500,0,884
LHR,LHR,30,winter,First,AsiaJet,4058,0.8,1619,0,397
BOM,DXB,194,spring,Business,PacificAir,8508,0.79,287,0,679
CDG,CDG,321,autumn,Economy,SkyMind,1345,0.21,1773,1,166
DXB,DXB,244,autumn,Business,AsiaJet,9384,0.76,946,1,728
SYD,CDG,314,summer,Business,PacificAir,12740,0.58,1987,1,731
SYD,SYD,185,spring,Economy,AeroGulf,13796,0.11,1062,0,4992
CDG,LAX,293,spring,Economy,EuroWings,1832,0.5,1915,0,80
BOM,FRA,247,autumn,Business,AeroGulf,11729,0.93,1837,0,4245
NRT,FRA,118,winter,Business,AsiaJet,13024,0.51,1507,1,929
LHR,DXB,73,winter,Business,PacificAir,6800,0.79,1551,1,649
SIN,SYD,69,winter,First,PacificAir,1774,0.03,1281,1,125
BOM,SIN,242,winter,Business,PacificAir,7666,0.73,844,0,570
BOM,LAX,152,winter,First,EuroWings,9936,0.95,726,1,814
NRT,SIN,319,autumn,First,PacificAir,837,0.5,1348,1,80
CDG,LHR,94,winter,First,SkyMind,3794,0.34,656,1,233
LAX,DXB,271,autumn,Economy,SkyMind,836,0.65,1852,1,350
FRA,SYD,229,summer,Economy,SkyMind,13945,0.92,1098,0,2584
FRA,SYD,30,autumn,First,AeroGulf,2367,0.18,729,0,495
FRA,JFK,113,winter,First,AsiaJet,12697,0.4,1951,0,872
LHR,NRT,335,autumn,First,AeroGulf,7414,0.16,471,1,1304
NRT,FRA,148,winter,Economy,AeroGulf,994,0.5,408,1,482
LAX,SYD,57,summer,Economy,EuroWings,5142,0.54,1482,1,2020
JFK,BOM,177,winter,Economy,AeroGulf,4386,0.94,1916,0,1760
CDG,LAX,312,spring,First,EuroWings,8852,0.41,201,0,1590
SIN,FRA,56,summer,First,SkyMind,2536,0.57,1583,0,640
SIN,FRA,265,autumn,Business,SkyMind,10433,0.89,231,0,1977
JFK,DXB,237,autumn,Business,AeroGulf,10199,0.32,1983,1,677
FRA,LAX,278,winter,Economy,AeroGulf,5583,0.67,1847,1,2141
DXB,CDG,77,spring,Economy,SkyMind,4060,0.76,301,0,1657
BOM,CDG,124,summer,Business,PacificAir,10067,0.33,1410,1,639
NRT,SYD,28,autumn,Economy,SkyMind,10245,0.16,1270,0,1832
LHR,LAX,142,winter,First,PacificAir,2781,0.5,1893,0,1149
DXB,SYD,158,spring,Business,SkyMind,10560,0.36,1895,0,1979
DXB,SYD,167,autumn,First,AsiaJet,2101,0.27,1970,0,253
SIN,JFK,185,winter,Business,EuroWings,12519,0.97,393,0,2295
SIN,FRA,12,winter,Business,EuroWings,12172,0.5,132,0,920
CDG,LAX,169,spring,Economy,AsiaJet,1799,0.86,117,1,449
SYD,SIN,319,autumn,First,PacificAir,9402,0.2,971,0,554
DXB,CDG,106,winter,First,AeroGulf,13829,0.94,771,1,5140
FRA,SYD,254,autumn,First,AeroGulf,4667,0.79,1238,0,397
LHR,LAX,98,spring,First,EuroWings,2546,0.81,307,0,666
JFK,FRA,119,spring,Economy,AeroGulf,3381,0.39,260,0,1238
LAX,JFK,226,autumn,First,PacificAir,5974,0.49,1413,0,1139
SIN,LHR,152,spring,Economy,AeroGulf,2317,0.59,1942,1,555
CDG,LHR,203,winter,Business,SkyMind,2698,0.79,418,0,275
LHR,LHR,163,autumn,First,AsiaJet,3832,0.85,561,1,426
LHR,LAX,297,winter,Economy,EuroWings,1603,0.08,1682,0,278
LHR,BOM,122,autumn,Business,AeroGulf,3677,0.9,1008,0,287
NRT,LAX,16,summer,First,PacificAir,12286,0.94,151,1,2490
LAX,LAX,336,winter,First,AeroGulf,12166,0.59,1984,1,753
CDG,DXB,106,winter,Economy,AsiaJet,5315,0.19,151,1,374
LAX,FRA,262,autumn,Business,SkyMind,2677,0.82,1294,1,606
CDG,FRA,20,autumn,Business,EuroWings,1694,0.55,717,0,668
LAX,LAX,244,winter,Business,EuroWings,5001,0.82,709,1,369
NRT,DXB,244,spring,Business,PacificAir,6541,0.81,1568,1,1211
DXB,NRT,212,winter,First,SkyMind,13844,0.09,1844,1,4934
CDG,SIN,224,summer,Business,AeroGulf,9227,0.61,230,0,620
SIN,BOM,353,spring,Economy,AeroGulf,7560,0.48,1857,1,493
LAX,NRT,262,spring,Economy,PacificAir,9761,0.95,1063,0,1852
CDG,LAX,220,autumn,First,SkyMind,13061,0.3,322,1,785
DXB,DXB,8,autumn,Economy,PacificAir,8824,0.21,414,0,1642
CDG,BOM,14,winter,First,AsiaJet,763,0.9,1762,1,443
JFK,CDG,130,winter,Business,AsiaJet,4962,0.15,936,1,360
JFK,DXB,22,autumn,First,AeroGulf,7468,0.69,1249,0,2855
SYD,LHR,225,winter,Business,AsiaJet,2552,0.3,611,0,156
LHR,SIN,235,spring,Economy,PacificAir,5446,0.57,229,0,1935
LAX,NRT,341,winter,First,EuroWings,6325,0.62,807,0,370
LAX,DXB,199,spring,Business,AsiaJet,6544,0.42,1167,1,2326
SYD,FRA,134,autumn,First,PacificAir,4589,0.97,1507,1,562
LAX,SYD,178,winter,Business,EuroWings,11539,0.13,1929,1,4131
CDG,SIN,44,spring,First,EuroWings,857,0.39,287,1,466
LAX,DXB,8,summer,First,AsiaJet,6005,0.43,343,1,577
FRA,CDG,280,summer,First,SkyMind,4920,0.63,1022,1,350
LHR,LAX,27,summer,First,AsiaJet,9442,0.41,702,1,1808
NRT,LAX,51,spring,Business,AsiaJet,3750,0.1,1650,0,1309
CDG,SIN,69,winter,Business,SkyMind,13043,0.95,1034,0,988
CDG,SYD,281,summer,First,AsiaJet,7062,0.42,1033,1,1380
SIN,FRA,44,autumn,First,PacificAir,2758,0.34,1817,1,272
SIN,DXB,175,autumn,Economy,SkyMind,9602,0.45,418,0,3528
NRT,FRA,119,autumn,Business,PacificAir,4310,0.22,1053,1,368
CDG,LAX,269,summer,Business,EuroWings,1083,0.1,1697,0,107
BOM,DXB,181,summer,Business,SkyMind,3938,0.15,1713,1,724
FRA,LAX,53,winter,Business,EuroWings,9268,0.17,373,0,610
DXB,CDG,293,spring,Economy,AeroGulf,6857,0.2,862,0,1207
BOM,FRA,191,autumn,First,AeroGulf,11268,0.42,1024,0,4088
LHR,SYD,194,winter,First,PacificAir,10563,0.62,170,0,3879
SYD,SIN,40,spring,First,EuroWings,9844,0.63,123,0,786
SIN,LAX,78,summer,Economy,EuroWings,6646,0.0,1417,0,1133
BOM,CDG,189,spring,Economy,SkyMind,5490,0.92,233,0,2113
CDG,CDG,95,autumn,First,AeroGulf,2283,0.82,1527,0,299
NRT,FRA,25,spring,Economy,PacificAir,1593,0.96,857,1,318
FRA,CDG,103,spring,Economy,PacificAir,10791,0.36,1037,0,705
FRA,SIN,302,summer,Economy,SkyMind,5032,0.66,1607,0,220
NRT,SYD,159,summer,Economy,SkyMind,5617,0.17,301,1,327
SIN,LHR,358,winter,First,PacificAir,8438,0.82,1657,1,1468
JFK,LHR,208,summer,Economy,SkyMind,10833,0.16,260,1,656
JFK,CDG,347,summer,First,EuroWings,7246,0.33,1850,1,325
JFK,LAX,94,autumn,Business,PacificAir,2633,0.49,1169,1,276
SYD,JFK,324,autumn,Economy,AsiaJet,9209,0.59,597,1,617
BOM,SYD,39,spring,Business,AeroGulf,9433,0.56,1561,0,710
BOM,LAX,336,autumn,Business,AeroGulf,6620,0.1,204,1,424
LHR,LAX,164,winter,Economy,AsiaJet,2977,0.42,1805,1,222
JFK,JFK,341,winter,First,AsiaJet,5458,0.92,1046,1,1905
LHR,DXB,322,spring,First,EuroWings,6637,0.87,1208,1,2420
CDG,LHR,55,winter,First,PacificAir,3376,0.59,1947,1,386
JFK,BOM,72,winter,Economy,SkyMind,542,0.57,1200,0,168
CDG,SYD,42,summer,Economy,AeroGulf,6329,0.11,1677,1,385
SIN,DXB,326,spring,First,AsiaJet,3941,0.2,624,0,703
FRA,JFK,132,winter,First,PacificAir,9095,0.25,921,0,1827
FRA,BOM,21,spring,Business,SkyMind,10018,0.49,1007,0,1952
CDG,SYD,1,winter,Business,AeroGulf,13993,0.73,1083,0,2641
JFK,NRT,166,autumn,Economy,PacificAir,10908,0.46,390,1,1931
NRT,JFK,60,spring,First,AeroGulf,6846,0.13,438,0,2533
BOM,SYD,76,autumn,First,EuroWings,7349,0.44,1644,1,669
JFK,NRT,91,spring,Economy,AeroGulf,7186,0.16,112,0,2608
LAX,DXB,207,autumn,First,EuroWings,10841,0.75,633,1,3983
LAX,NRT,88,summer,Economy,EuroWings,11085,0.17,651,1,725
SYD,JFK,82,autumn,Business,EuroWings,3150,0.48,1496,1,1205
BOM,LHR,17,winter,First,SkyMind,13229,0.69,1599,0,863
LAX,JFK,329,summer,First,SkyMind,4845,0.23,226,1,349
DXB,FRA,210,autumn,Economy,EuroWings,1377,0.08,1804,0,80
SYD,SIN,312,summer,Economy,PacificAir,2386,0.56,874,0,220
FRA,DXB,53,summer,Economy,EuroWings,1803,0.05,1857,1,299
JFK,SIN,128,winter,Economy,PacificAir,2240,0.59,1346,0,524
CDG,LAX,146,autumn,Business,AeroGulf,1612,0.75,1112,1,758
LAX,DXB,304,summer,Economy,SkyMind,4376,0.33,922,1,332
FRA,SYD,310,winter,First,PacificAir,6540,0.49,1070,1,426
BOM,BOM,248,spring,First,PacificAir,7952,0.93,1756,0,575
LHR,LAX,1,spring,First,PacificAir,10590,0.47,321,1,806
SIN,SYD,41,summer,First,AsiaJet,6618,1.0,1714,1,1480
NRT,LAX,73,summer,Business,SkyMind,8939,0.16,496,0,1582
FRA,FRA,160,summer,Business,AsiaJet,7295,0.71,198,0,1369
CDG,JFK,212,winter,Business,AeroGulf,7544,0.65,1606,0,2692
SYD,DXB,333,winter,Economy,PacificAir,11952,0.87,1527,0,778
SIN,LHR,296,autumn,First,SkyMind,1067,0.09,1358,1,177
SIN,FRA,139,spring,First,SkyMind,12501,0.28,1309,0,2343
NRT,DXB,304,summer,Business,SkyMind,6458,0.13,378,0,414
LAX,LHR,43,summer,Economy,PacificAir,9880,0.93,792,0,1974
LAX,LAX,179,winter,Business,EuroWings,11287,0.43,1928,0,736
DXB,NRT,189,winter,First,EuroWings,1853,0.91,887,1,220
NRT,SIN,246,autumn,First,EuroWings,12304,0.29,475,0,2212
NRT,LHR,298,spring,Business,AsiaJet,5529,0.13,1526,0,2043
SYD,JFK,154,summer,First,PacificAir,9672,0.3,335,1,757
BOM,LAX,104,winter,Business,AeroGulf,5465,0.6,757,0,2151
JFK,JFK,11,spring,Business,AsiaJet,668,0.85,167,1,366
DXB,BOM,25,autumn,Business,SkyMind,8212,0.39,1067,0,664
LHR,DXB,296,spring,Business,EuroWings,11856,0.91,913,1,848
CDG,NRT,25,summer,First,SkyMind,3171,0.24,1299,1,568
CDG,LHR,84,winter,Economy,AsiaJet,878,0.69,1655,0,536
NRT,SIN,106,summer,First,EuroWings,2432,0.74,683,1,633
NRT,LHR,241,spring,Business,PacificAir,693,0.27,1576,1,211
LAX,JFK,119,winter,First,EuroWings,8955,0.03,716,1,1658
SYD,NRT,108,autumn,Economy,EuroWings,10163,0.37,971,1,3725
CDG,LHR,330,autumn,First,EuroWings,10707,0.05,1642,1,745
SYD,LAX,180,winter,Business,AsiaJet,5116,0.9,917,0,460
JFK,BOM,131,autumn,Economy,EuroWings,5514,0.95,152,0,1153
SYD,NRT,295,autumn,First,AsiaJet,8378,0.74,1081,0,1575
JFK,DXB,91,winter,Economy,SkyMind,1800,0.73,1452,0,861
BOM,NRT,241,summer,First,PacificAir,3700,0.24,1390,1,695
FRA,SIN,247,spring,Economy,EuroWings,3873,0.07,815,0,1420
FRA,LAX,168,summer,Business,AsiaJet,9265,0.8,491,0,3469
LAX,LHR,223,spring,Business,EuroWings,10229,0.56,1155,0,3714
JFK,SYD,278,spring,Economy,EuroWings,1883,0.68,290,0,346
SYD,LHR,190,winter,First,EuroWings,10072,0.78,1818,1,646
BOM,JFK,19,autumn,Business,AeroGulf,4037,0.41,1310,1,1645
JFK,JFK,14,autumn,First,PacificAir,8424,0.14,930,0,534
CDG,FRA,243,spring,Economy,PacificAir,11851,0.8,1524,0,4175
SYD,BOM,109,spring,First,AsiaJet,10215,0.45,1277,1,1953
SIN,LHR,190,winter,Economy,SkyMind,5491,0.83,150,0,2114
CDG,DXB,218,spring,First,SkyMind,5702,0.44,1412,0,2012
SYD,CDG,299,summer,Economy,SkyMind,13304,0.22,637,0,768
SYD,CDG,311,spring,Economy,EuroWings,4432,0.17,377,0,761
DXB,DXB,236,summer,Economy,AsiaJet,13811,0.74,550,0,5013
LHR,NRT,168,winter,Economy,EuroWings,4122,0.57,1986,0,894
DXB,LAX,268,spring,First,AeroGulf,9587,0.4,433,1,599
LAX,FRA,193,autumn,Business,AsiaJet,12085,0.49,1333,1,2223
SYD,FRA,242,winter,Economy,AsiaJet,964,0.55,864,1,285
SYD,NRT,162,spring,Economy,AsiaJet,8480,0.24,1634,0,573
JFK,SYD,364,spring,Business,AeroGulf,2110,0.38,605,1,672
NRT,CDG,339,summer,Business,AsiaJet,9304,0.29,581,0,3324
LHR,FRA,279,spring,Economy,AeroGulf,11904,0.39,459,1,2186
NRT,SIN,135,summer,Economy,SkyMind,1104,0.5,802,1,445
BOM,LHR,193,summer,First,AsiaJet,8467,0.17,244,1,633
FRA,FRA,89,autumn,Business,EuroWings,1120,0.39,652,1,295
JFK,NRT,42,autumn,First,PacificAir,3102,0.39,175,1,624
SIN,FRA,93,autumn,Economy,AeroGulf,10875,0.29,1930,0,3923
BOM,LAX,215,winter,Economy,SkyMind,6973,1.0,772,1,2679
LHR,JFK,349,autumn,Economy,SkyMind,4300,0.07,387,0,1516
DXB,JFK,1,summer,Economy,PacificAir,7598,0.64,1272,0,1578
JFK,SYD,335,spring,Business,AsiaJet,7038,0.17,1560,1,2480
LHR,FRA,164,summer,First,EuroWings,655,0.84,1827,0,260
FRA,LHR,106,autumn,Business,PacificAir,8660,0.91,1457,0,3279
LHR,BOM,232,spring,Economy,AsiaJet,12045,0.4,1189,1,2196
SIN,SYD,46,summer,First,AsiaJet,12603,0.82,1300,0,2443
CDG,BOM,205,spring,Economy,AeroGulf,11609,0.25,1450,1,2173
FRA,FRA,21,summer,Business,EuroWings,7181,0.14,642,1,2600
FRA,CDG,177,spring,Economy,EuroWings,11809,0.32,1983,1,4293
NRT,NRT,167,spring,Business,AeroGulf,3215,0.34,1036,1,243
SIN,SIN,294,autumn,Business,AsiaJet,4839,0.4,1067,1,974
BOM,BOM,265,winter,Economy,AsiaJet,8570,0.37,298,0,3160
NRT,LHR,276,autumn,Economy,EuroWings,7190,0.41,519,1,500
LHR,CDG,340,spring,Business,EuroWings,949,0.71,1197,1,80
SIN,FRA,8,spring,First,EuroWings,13541,0.25,1546,0,4915
SYD,CDG,270,autumn,Business,EuroWings,13193,0.02,210,0,2435
SIN,NRT,318,summer,First,AsiaJet,12653,0.49,193,0,719
CDG,LHR,212,spring,Business,EuroWings,1569,0.45,976,1,154
LHR,NRT,163,summer,Economy,AsiaJet,4517,0.06,459,1,769
LAX,JFK,311,autumn,Business,AeroGulf,13536,0.13,1292,1,4830
SIN,SYD,45,winter,First,SkyMind,12283,0.51,396,0,2429
DXB,SYD,233,winter,First,AeroGulf,3319,0.23,360,1,658
JFK,BOM,53,spring,First,AeroGulf,2785,0.88,824,0,1277
SYD,FRA,233,summer,First,PacificAir,10727,0.17,1897,0,701
FRA,LAX,342,autumn,First,AeroGulf,9882,0.02,417,1,1772
LAX,DXB,171,spring,Business,PacificAir,1899,0.45,371,1,151
CDG,SIN,6,winter,Economy,PacificAir,12432,0.99,307,0,1017
SIN,CDG,44,winter,Economy,PacificAir,2748,0.63,1467,1,321
LHR,SYD,91,summer,Business,AeroGulf,11485,0.35,977,1,4302
LAX,NRT,196,spring,Economy,SkyMind,6875,0.02,502,0,348
BOM,CDG,4,summer,Business,PacificAir,1223,0.48,1206,0,334
SYD,DXB,121,summer,First,EuroWings,10133,0.21,1363,1,1820
LHR,NRT,63,spring,Business,EuroWings,5773,0.65,1758,1,1253
LHR,LHR,92,autumn,Economy,AsiaJet,8035,0.58,1800,0,3115
BOM,LHR,247,winter,Economy,EuroWings,5320,0.27,1699,1,999
LAX,DXB,219,spring,Economy,EuroWings,586,0.07,542,0,238
LAX,FRA,337,winter,Business,PacificAir,8197,0.76,708,0,513
BOM,LAX,231,autumn,Business,AeroGulf,7346,0.59,1192,1,527
DXB,SIN,294,winter,Business,EuroWings,4649,0.84,1836,1,1761
NRT,SIN,188,winter,Economy,AeroGulf,2251,0.26,568,0,869
SYD,LAX,308,summer,Business,SkyMind,5661,0.65,1770,1,2093
FRA,NRT,168,summer,Business,EuroWings,3920,0.12,909,0,293
CDG,SIN,264,summer,Economy,SkyMind,5337,0.29,923,0,1856
DXB,SYD,105,autumn,First,SkyMind,2983,0.66,1042,0,320
FRA,NRT,224,summer,First,AsiaJet,3712,0.83,1464,1,334
CDG,BOM,115,winter,Economy,AeroGulf,4422,0.32,975,0,882
SIN,JFK,235,winter,Economy,AeroGulf,11181,0.8,560,1,747
JFK,BOM,272,winter,First,AsiaJet,6810,0.68,1557,0,2511
SIN,CDG,274,spring,Business,PacificAir,6542,0.35,1464,0,2345
BOM,LAX,230,winter,Economy,AsiaJet,8513,0.88,1581,0,3073
CDG,CDG,217,summer,First,AsiaJet,10178,0.51,1595,1,721
LAX,SIN,34,autumn,Business,AsiaJet,4027,0.65,190,1,361
NRT,LHR,197,autumn,Economy,SkyMind,8764,0.5,388,1,1638
LAX,JFK,317,winter,First,AeroGulf,9416,0.45,893,1,1675
SIN,SYD,214,winter,Business,PacificAir,4254,0.85,1396,1,1716
SIN,FRA,46,spring,Business,EuroWings,8662,0.29,1656,1,591
CDG,NRT,333,winter,First,EuroWings,11687,0.04,1104,1,4192
FRA,SYD,240,winter,Business,EuroWings,4865,0.88,1637,1,1879
SYD,SYD,254,winter,First,PacificAir,8910,0.83,690,1,3391
LHR,CDG,228,spring,First,EuroWings,1046,0.37,655,1,250
SIN,LHR,221,autumn,Business,PacificAir,4229,0.19,1829,1,1526
BOM,NRT,166,winter,First,EuroWings,7850,0.68,682,0,1559
LAX,FRA,73,autumn,First,EuroWings,13889,0.08,647,0,773
NRT,CDG,225,spring,Economy,PacificAir,6384,0.42,657,1,2348
CDG,BOM,86,spring,First,AeroGulf,2468,0.09,1045,0,564
FRA,DXB,81,winter,Business,PacificAir,5016,0.6,1870,1,448
SYD,FRA,215,spring,First,PacificAir,1759,0.03,323,0,325
SYD,SYD,164,spring,Business,AsiaJet,7492,0.63,1702,0,2802
JFK,NRT,240,autumn,Economy,SkyMind,8256,0.67,870,1,544
LHR,SYD,69,summer,Business,SkyMind,3433,0.49,1621,0,340
FRA,JFK,137,autumn,First,AeroGulf,3009,0.18,1754,0,253
BOM,SIN,152,winter,Business,AeroGulf,12700,0.1,1680,1,2286
LAX,LHR,97,spring,Economy,AeroGulf,12764,0.31,1148,0,2241
BOM,CDG,158,winter,Economy,SkyMind,13372,0.47,776,1,2510
BOM,NRT,186,autumn,Economy,AeroGulf,2062,0.64,263,1,324
LHR,DXB,168,spring,Business,AeroGulf,10777,0.0,390,0,3860
SIN,DXB,244,winter,Business,PacificAir,10481,0.71,1910,1,3770
CDG,BOM,119,winter,Business,PacificAir,8575,0.71,144,1,691
BOM,BOM,196,autumn,Economy,SkyMind,4169,0.44,467,1,1649
LHR,CDG,288,winter,Business,PacificAir,2981,0.34,1334,0,226
BOM,LAX,65,spring,Economy,AeroGulf,12122,0.84,836,0,4657
DXB,DXB,162,winter,Economy,PacificAir,7698,0.78,245,0,2941
CDG,FRA,85,spring,First,AsiaJet,704,0.98,1022,0,514
BOM,BOM,59,winter,First,PacificAir,1241,0.37,449,0,290
BOM,LHR,282,autumn,Economy,SkyMind,13992,0.91,898,1,2594
SYD,BOM,150,spring,Economy,AeroGulf,11580,0.09,934,1,709
SYD,JFK,121,winter,Economy,AeroGulf,12186,0.41,1529,0,2272
FRA,CDG,269,summer,First,SkyMind,7549,0.47,1047,0,477
LAX,SYD,255,spring,Economy,PacificAir,4763,0.44,1133,1,908
LHR,JFK,224,spring,First,AeroGulf,8337,0.63,619,0,3009
DXB,LHR,55,spring,First,AeroGulf,5237,0.17,1157,1,1026
LHR,DXB,136,summer,Business,AsiaJet,1605,0.87,333,0,408
JFK,NRT,190,autumn,Business,SkyMind,7330,0.55,1304,0,1385
LAX,DXB,253,winter,Business,PacificAir,10515,0.9,623,1,730
FRA,DXB,312,summer,First,PacificAir,11339,0.0,849,0,633
SYD,NRT,84,winter,Economy,AeroGulf,4697,0.63,1827,1,1738
NRT,JFK,354,summer,Business,EuroWings,588,0.41,1052,1,196
NRT,FRA,177,summer,First,AsiaJet,6988,0.51,1987,1,2522
CDG,JFK,94,winter,Economy,AsiaJet,3881,0.74,485,1,899
LHR,SYD,35,winter,Business,AsiaJet,13395,0.23,372,1,4826
DXB,JFK,212,winter,First,AeroGulf,12203,0.2,943,1,831
DXB,LHR,126,autumn,Business,SkyMind,10898,0.7,426,0,4060
JFK,JFK,230,spring,Business,SkyMind,3685,0.52,434,1,1387
DXB,SIN,168,summer,First,AsiaJet,7179,0.23,613,1,2522
LAX,LAX,14,spring,Business,EuroWings,6806,0.48,126,0,2595
FRA,LHR,74,winter,First,EuroWings,13073,0.46,764,1,4812
NRT,CDG,52,winter,First,PacificAir,1364,0.69,239,0,194
LAX,NRT,362,summer,Business,EuroWings,8746,0.0,1828,1,1578
NRT,CDG,207,summer,Economy,AsiaJet,5171,0.59,194,1,1918
DXB,NRT,296,summer,Economy,PacificAir,10772,0.61,267,1,1962
SYD,CDG,43,summer,Economy,AsiaJet,1057,0.75,1640,1,580
SYD,SIN,3,summer,First,SkyMind,13518,0.89,1855,0,2674
SIN,BOM,95,winter,Business,AsiaJet,9684,0.44,127,0,691
JFK,LAX,238,summer,Economy,PacificAir,13588,0.34,1884,0,2477
DXB,FRA,167,autumn,Business,AsiaJet,4791,0.1,683,0,1764
SYD,SYD,19,spring,Economy,AeroGulf,947,0.34,1113,0,240
NRT,DXB,207,spring,Economy,PacificAir,2321,0.07,407,0,373
FRA,NRT,230,autumn,Business,EuroWings,4319,0.8,1521,0,1608
DXB,SYD,214,summer,Business,SkyMind,11664,0.81,233,0,2272
DXB,NRT,56,winter,Business,EuroWings,591,0.42,885,0,367
JFK,NRT,334,winter,Business,AsiaJet,1107,0.26,1416,1,133
JFK,NRT,132,autumn,Economy,EuroWings,9943,0.12,803,0,3666
LHR,NRT,9,autumn,Business,PacificAir,785,0.85,594,1,272
BOM,NRT,231,autumn,First,AeroGulf,3421,0.88,454,0,727
BOM,DXB,153,spring,Economy,EuroWings,11998,0.27,646,1,4370
CDG,CDG,305,autumn,First,AsiaJet,601,0.62,737,0,171
NRT,CDG,284,winter,Economy,EuroWings,4335,0.26,1140,1,262
CDG,BOM,190,summer,Economy,EuroWings,8669,0.23,209,0,557
DXB,NRT,16,winter,First,PacificAir,4735,0.02,1598,0,861
LHR,LHR,343,autumn,Economy,AsiaJet,13622,0.58,1723,0,4941
SYD,SYD,203,winter,First,AsiaJet,10370,0.15,109,1,3785
DXB,DXB,174,spring,Economy,AeroGulf,12515,0.01,662,0,4511
BOM,NRT,168,winter,Business,PacificAir,8009,0.1,1235,1,2905
JFK,NRT,339,spring,Economy,PacificAir,7216,0.31,948,1,450
SIN,JFK,34,summer,First,SkyMind,1034,0.67,1687,1,636
SYD,LHR,229,autumn,Business,AeroGulf,7166,0.2,848,0,1225
FRA,SIN,1,summer,Business,AeroGulf,8707,0.89,1443,1,740
SYD,SYD,322,autumn,Business,AsiaJet,9252,0.29,1412,1,1709
LHR,FRA,115,summer,Business,AsiaJet,3425,0.33,708,1,697
NRT,JFK,214,summer,Economy,AeroGulf,11075,0.22,1908,1,2033
BOM,CDG,254,summer,First,PacificAir,1409,0.25,565,1,140
LAX,SYD,145,spring,Business,SkyMind,10105,0.07,1503,1,3661
NRT,LHR,47,spring,First,AsiaJet,5508,0.29,276,1,1039
LHR,JFK,280,winter,First,SkyMind,618,0.86,1487,1,202
SIN,LAX,178,winter,Business,AeroGulf,12754,0.69,1865,1,4698
NRT,DXB,213,winter,First,PacificAir,3613,0.88,1250,0,1388
CDG,BOM,360,autumn,First,SkyMind,11752,0.1,1386,1,4265
CDG,DXB,285,spring,First,EuroWings,6653,0.46,1085,1,2457
DXB,JFK,245,summer,First,AeroGulf,1991,0.23,979,1,391
CDG,CDG,253,winter,Economy,PacificAir,2596,0.72,1060,1,307
FRA,BOM,206,spring,Economy,AeroGulf,8444,0.97,994,0,3232
DXB,SYD,72,spring,Economy,AeroGulf,2754,0.82,1569,0,1239
NRT,JFK,222,autumn,First,SkyMind,9205,0.04,1582,0,1789
SYD,CDG,342,summer,Economy,SkyMind,6603,0.32,365,1,2375
BOM,DXB,215,spring,Business,EuroWings,1733,0.03,1410,0,292
NRT,BOM,360,spring,First,AsiaJet,5758,0.04,124,0,1079
LHR,LAX,141,winter,Economy,EuroWings,12824,0.08,1308,1,2310
JFK,LAX,156,autumn,Economy,PacificAir,10171,0.28,1188,1,1879
SYD,SIN,222,autumn,First,PacificAir,6131,0.3,526,1,2193
FRA,SIN,330,summer,First,AeroGulf,3849,0.4,1627,1,272
SIN,SYD,231,autumn,First,SkyMind,10232,0.4,1254,0,3654
DXB,SYD,142,summer,Business,AeroGulf,629,0.77,922,1,174
JFK,CDG,358,summer,Economy,AsiaJet,4216,0.14,1427,1,1517
FRA,SYD,75,winter,Business,AeroGulf,7254,0.16,1956,0,1322
LHR,DXB,40,winter,Economy,PacificAir,4243,0.63,554,0,1607
LAX,LAX,273,spring,First,PacificAir,2271,0.57,846,1,363
DXB,CDG,70,winter,Economy,EuroWings,4954,0.15,1236,0,1782
LAX,BOM,317,spring,First,AeroGulf,7270,0.85,671,1,1369
FRA,NRT,111,spring,Economy,SkyMind,11767,0.33,625,1,789
NRT,SYD,234,spring,Business,AsiaJet,7750,0.37,186,1,1434
CDG,JFK,197,spring,Economy,AsiaJet,5773,0.42,1619,1,2092
CDG,FRA,339,summer,First,SkyMind,9197,0.32,1972,1,1679
CDG,DXB,199,spring,Business,AsiaJet,6128,0.56,1137,0,354
LAX,SYD,24,spring,Business,SkyMind,5413,0.39,492,0,314
LAX,NRT,307,spring,Economy,SkyMind,13581,0.26,1976,0,4889
FRA,DXB,147,summer,Economy,EuroWings,9530,0.9,784,0,1849
SYD,LAX,62,autumn,Business,AeroGulf,12563,0.31,613,0,4650
