origin,destination,distance_km,avg_passengers,avg_revenue_usd,avg_delay_min,fuel_cost_usd,competition_score,demand_score,profitability_score
CDG,LAX,534,342,305968,16,20935,0.88,0.22,0.5541
BOM,SYD,1538,361,273851,30,23861,0.96,0.84,0.47
CDG,NRT,8572,261,238093,63,13232,0.19,0.98,0.3867
BOM,SYD,1742,228,191293,36,5363,0.82,0.59,0.3359
SYD,CDG,7698,109,94036,0,28461,0.99,0.18,0.1312
DXB,FRA,7735,131,83031,101,87535,0.31,0.65,0.0
SYD,FRA,2128,177,37495,41,29167,0.72,0.72,0.0
NRT,SIN,4960,271,135224,70,47849,0.09,0.16,0.1048
NRT,FRA,9631,187,406145,107,14560,0.3,0.22,0.6762
BOM,NRT,8335,478,497532,56,19950,0.75,0.47,0.8992
SYD,FRA,2155,100,445960,65,8727,1.0,0.81,0.8095
SYD,CDG,2492,302,235777,110,93007,0.49,0.85,0.1755
LAX,SIN,7523,287,163026,25,65761,0.39,0.73,0.1695
LAX,JFK,12974,178,405102,117,19999,0.57,0.02,0.6532
SIN,LAX,7193,367,161310,89,9114,0.85,0.54,0.2154
CDG,BOM,1841,444,492443,2,22530,0.32,0.22,0.9378
NRT,CDG,6481,53,376960,13,15560,0.08,0.87,0.7098
BOM,JFK,10254,329,99084,107,66866,0.68,0.7,0.0
BOM,BOM,6575,210,47885,35,61769,0.14,0.93,0.0
SIN,DXB,6601,236,175205,17,94175,0.97,0.79,0.1451
DXB,BOM,13162,266,149268,104,8004,0.86,0.54,0.1785
LAX,DXB,11503,144,467229,86,42317,0.11,0.62,0.7638
NRT,FRA,9989,243,339204,57,54228,0.46,0.07,0.513
SYD,CDG,7048,382,101452,4,74415,0.75,0.63,0.0501
LAX,NRT,4749,475,249316,116,51384,0.06,0.06,0.2799
NRT,LAX,1154,253,250937,29,82513,0.79,0.51,0.3078
SIN,FRA,10926,125,247269,77,67286,0.47,0.86,0.283
LAX,SYD,4037,487,385078,101,78102,0.9,0.23,0.513
LHR,NRT,7139,309,268467,5,60620,0.39,0.48,0.4107
FRA,LAX,11721,374,42520,24,46698,0.33,0.08,0.0
DXB,NRT,700,483,363083,102,21280,0.15,0.29,0.5816
LHR,LAX,12630,98,66618,117,70805,0.69,0.89,0.0
SIN,BOM,10027,246,349621,92,41979,0.09,0.11,0.5233
CDG,FRA,3675,284,433812,14,9243,0.63,0.41,0.8351
BOM,FRA,9209,206,385057,70,38291,0.7,0.22,0.6235
LAX,LAX,1132,53,441273,21,85908,0.51,0.92,0.6897
JFK,LHR,538,91,209128,78,13676,0.84,0.67,0.3129
FRA,LHR,8346,151,146728,27,77837,1.0,0.53,0.1108
CDG,SIN,6601,322,134754,68,96065,0.89,0.75,0.0094
FRA,LHR,11102,264,117371,45,69704,0.76,0.48,0.0503
SIN,NRT,3170,254,396831,72,74124,0.31,0.6,0.5734
SIN,CDG,6548,251,223958,42,82738,0.45,0.7,0.2404
LAX,SYD,1912,147,187131,101,71360,0.03,0.45,0.1305
JFK,JFK,728,210,233614,0,90376,0.28,0.4,0.2865
LHR,SYD,1805,269,351532,85,14120,0.89,0.1,0.5898
BOM,LHR,5651,454,475780,57,5571,0.6,0.99,0.8834
SYD,BOM,12427,208,157782,5,28714,0.61,0.42,0.2531
CDG,NRT,3699,221,162540,50,39059,0.02,0.61,0.197
LHR,SIN,9674,292,371768,111,79916,0.36,0.09,0.4727
SYD,SIN,4645,105,453439,112,19724,0.59,0.62,0.7554
LHR,CDG,4104,297,318400,51,12639,0.86,0.72,0.5605
SIN,SYD,3107,357,390017,33,85232,0.86,0.75,0.5766
BOM,SIN,2638,220,293650,56,61172,0.34,0.87,0.409
SIN,NRT,12852,311,132859,31,36164,0.59,0.41,0.1624
JFK,NRT,10977,418,92090,72,33614,0.02,0.36,0.045
CDG,SIN,9780,287,272152,72,69241,0.23,0.48,0.3338
FRA,SIN,6054,123,276657,72,7001,0.95,0.8,0.4673
JFK,LHR,4100,251,326437,6,22095,0.75,0.57,0.6027
SYD,CDG,9540,476,25419,57,96655,0.15,0.93,0.0
BOM,NRT,7119,145,218514,105,31770,0.73,0.54,0.2685
FRA,FRA,10925,146,413765,61,8212,0.2,0.18,0.7501
NRT,JFK,9209,275,144493,47,7241,0.1,0.93,0.2275
FRA,CDG,8862,252,466140,117,73447,0.08,0.58,0.6684
FRA,NRT,2530,196,294730,5,7854,0.56,0.57,0.5688
DXB,NRT,4993,463,92104,33,42250,0.42,0.59,0.0667
SIN,FRA,10224,473,396243,97,38569,0.58,0.4,0.6183
DXB,LAX,2512,156,14065,60,72465,0.1,0.97,0.0
FRA,DXB,8999,108,82911,89,72325,0.73,0.07,0.0
LHR,NRT,9128,281,419516,39,39959,0.82,0.35,0.7201
SIN,SIN,7507,383,408541,3,65944,0.2,0.54,0.6822
SIN,LHR,6174,140,454026,45,79925,0.24,0.53,0.7032
SIN,SIN,4484,400,419852,15,39124,0.44,0.56,0.7465
CDG,JFK,1232,64,461381,95,52416,0.33,0.82,0.7229
LHR,FRA,5443,269,437399,73,91927,0.62,0.12,0.6179
FRA,BOM,12928,435,363230,75,35633,0.18,0.92,0.5802
BOM,SIN,6846,97,146319,87,56818,0.74,0.61,0.092
LAX,LAX,3232,86,35369,70,88892,0.78,0.01,0.0
SYD,LAX,11001,160,252870,90,35719,0.75,0.4,0.3443
LAX,DXB,3395,173,467241,59,18460,0.2,0.18,0.8386
SYD,CDG,8146,263,347441,94,66107,0.27,0.41,0.4687
DXB,NRT,13841,251,478145,57,83280,0.49,0.72,0.7327
FRA,JFK,13473,389,448075,110,5140,0.55,0.29,0.7759
SIN,FRA,12168,147,213047,26,42578,0.3,0.26,0.3149
SIN,JFK,7232,120,32495,31,36737,0.32,0.39,0.0
LHR,BOM,5164,376,163290,20,65451,0.54,0.13,0.1757
SYD,NRT,12693,51,488654,94,78425,0.38,0.98,0.7265
SYD,LAX,3171,111,130053,24,42242,0.35,0.66,0.1516
CDG,SIN,11153,481,154419,14,19220,0.37,0.99,0.2564
JFK,JFK,4397,236,76627,50,21570,0.84,0.5,0.0601
JFK,CDG,8143,321,424509,8,24276,0.51,0.92,0.7925
LAX,SIN,2755,136,245394,35,14821,0.59,0.74,0.4261
LAX,BOM,10322,270,365029,51,93493,0.05,0.91,0.4921
BOM,FRA,1415,238,39260,67,83990,0.11,0.79,0.0
FRA,FRA,13183,184,128433,34,41783,0.36,0.05,0.1393
NRT,LHR,11321,319,102234,8,53887,0.43,0.39,0.0887
FRA,JFK,11707,369,222671,99,39398,0.95,0.49,0.2675
SIN,NRT,7612,290,297206,82,86159,0.58,0.58,0.3401
JFK,FRA,3497,171,76061,33,5556,0.02,0.67,0.108
BOM,CDG,13914,89,27285,36,36327,0.73,0.02,0.0
LHR,FRA,3005,65,130970,44,71998,0.68,0.24,0.0739
LAX,NRT,927,163,331189,21,82773,0.32,0.93,0.4758
SIN,CDG,4041,230,199059,81,60289,0.56,0.52,0.1965
DXB,DXB,7753,378,86899,0,81780,0.39,0.73,0.0102
SIN,SIN,11681,287,12745,102,63499,0.99,0.11,0.0
DXB,FRA,5398,114,274213,47,21976,0.23,0.17,0.4575
FRA,LAX,12938,409,277824,73,59507,0.26,0.48,0.3636
BOM,JFK,12022,478,71241,11,79372,0.55,0.81,0.0
BOM,DXB,7660,280,487321,59,38892,0.77,0.72,0.8379
FRA,NRT,5916,309,403170,94,71070,0.54,0.29,0.5702
CDG,DXB,2058,290,374475,50,62067,0.77,0.71,0.5748
DXB,NRT,7650,266,122002,89,69314,0.47,0.39,0.0164
LAX,DXB,2797,474,52747,115,23270,0.47,0.47,0.0
NRT,FRA,11847,481,279691,64,24908,0.43,0.02,0.4456
CDG,DXB,3158,477,475937,119,8021,0.49,0.07,0.8168
DXB,BOM,1270,498,65146,14,60794,0.08,0.46,0.0
CDG,SIN,9292,201,48881,22,60103,1.0,0.74,0.0
BOM,BOM,8157,248,150338,109,53927,0.97,0.04,0.0838
CDG,LAX,3406,271,433642,114,28467,0.8,0.91,0.6964
CDG,SIN,2900,138,262752,76,56915,0.53,0.98,0.3357
NRT,SYD,2821,472,420879,117,28188,0.47,0.49,0.6684
SYD,JFK,8719,422,307043,87,67787,0.88,0.68,0.3915
FRA,FRA,9923,483,148574,10,94900,0.62,0.61,0.0973
BOM,BOM,555,112,42364,114,78766,0.97,0.28,0.0
NRT,JFK,6975,149,230329,11,53677,0.4,0.46,0.3423
LAX,SYD,5536,445,284809,9,9978,0.61,0.24,0.5407
FRA,FRA,1699,355,176601,35,95343,0.68,0.85,0.1275
LAX,FRA,6672,69,245622,106,42768,0.82,0.07,0.2997
BOM,DXB,2291,431,12223,117,74394,0.42,0.51,0.0
FRA,SYD,1099,368,131281,58,23073,0.41,0.1,0.1584
LAX,JFK,3129,213,283410,36,29222,0.47,0.07,0.4724
JFK,CDG,7086,211,107225,21,90148,0.96,0.25,0.0132
BOM,SIN,7034,293,353429,20,18501,0.91,0.55,0.6499
LHR,JFK,4708,246,43564,47,63595,0.94,0.72,0.0
DXB,DXB,7283,268,266479,61,89554,0.33,0.36,0.2928
CDG,LHR,1061,404,96577,2,86388,0.69,0.36,0.0184
BOM,CDG,9039,403,261697,73,84304,0.84,0.8,0.2818
LAX,LAX,10143,203,210767,74,5126,0.22,0.71,0.3373
BOM,LHR,5448,378,471803,1,82843,0.25,0.92,0.7769
SYD,FRA,7993,77,416419,40,28233,0.4,0.85,0.7364
SIN,SIN,3425,451,58316,51,91879,0.88,0.17,0.0
SYD,NRT,9664,320,477408,11,68850,0.16,0.93,0.8061
CDG,NRT,10494,57,25935,76,79408,0.99,0.81,0.0
DXB,BOM,2686,221,255307,59,30610,0.01,0.26,0.3904
FRA,SIN,6004,183,204385,2,67371,0.23,0.63,0.272
SYD,JFK,2390,377,11846,14,95853,0.29,0.24,0.0
BOM,FRA,10792,165,35693,83,15473,0.9,0.68,0.0
SYD,LHR,5169,366,125074,34,24668,0.27,0.71,0.1668
BOM,LAX,2254,303,20461,87,35939,0.91,1.0,0.0
SYD,BOM,3611,342,443055,76,18741,0.23,0.8,0.7726
JFK,SIN,13098,217,88432,25,10827,0.91,0.01,0.1302
SYD,DXB,545,160,441265,45,25169,0.04,0.84,0.7872
JFK,BOM,13843,66,159791,80,70266,0.46,0.32,0.099
SIN,DXB,10304,264,468830,105,47887,0.72,0.57,0.7369
BOM,LAX,10576,156,448178,6,31222,0.94,0.26,0.8279
SIN,SYD,13515,491,459954,49,57146,0.14,0.11,0.7566
DXB,LHR,896,247,391225,110,57929,0.66,0.17,0.5566
FRA,SIN,2533,379,54624,94,75911,0.27,0.4,0.0
CDG,CDG,4618,405,411162,2,12895,0.87,1.0,0.7945
DXB,JFK,12293,271,471976,110,64018,0.86,0.66,0.7059
CDG,LAX,7358,355,210176,23,98716,0.13,0.97,0.1999
SIN,JFK,3390,200,201027,49,77839,0.27,0.06,0.1974
FRA,CDG,2434,235,164066,81,58627,0.24,0.47,0.1299
CDG,CDG,10963,268,127205,52,12144,0.72,0.58,0.1781
LAX,JFK,7166,439,488965,98,85033,0.05,0.35,0.7099
BOM,SIN,8095,386,351982,66,33442,0.51,0.22,0.5711
SIN,SYD,3615,85,195148,100,72543,0.91,0.45,0.1452
JFK,JFK,13838,462,221348,79,9588,0.17,0.83,0.3445
CDG,CDG,531,273,302670,45,76845,0.7,0.41,0.4066
LHR,CDG,5635,133,291302,2,51692,0.42,0.75,0.4772
FRA,FRA,7507,452,407382,45,25720,0.47,0.97,0.7183
SYD,DXB,5048,272,149238,102,24223,0.27,0.49,0.148
JFK,CDG,2236,458,53258,119,69649,0.35,0.28,0.0
LHR,LAX,13097,279,191399,95,23696,0.65,0.3,0.2404
JFK,CDG,7103,303,355464,84,58150,0.31,0.37,0.5106
CDG,JFK,10691,93,470106,74,91165,0.24,0.6,0.6839
DXB,SYD,4346,476,478885,90,8588,0.13,0.95,0.8506
LHR,BOM,2581,127,344459,30,72717,0.97,0.22,0.5135
CDG,FRA,9647,419,364385,65,43452,0.92,0.17,0.5769
DXB,BOM,3528,55,215263,46,48362,0.21,0.98,0.2878
NRT,CDG,7692,353,395722,52,19033,0.22,0.05,0.7014
FRA,NRT,13189,279,390925,13,28810,0.7,0.96,0.7112
LAX,CDG,12203,407,342484,5,71804,0.29,0.77,0.5364
LHR,BOM,9382,347,34321,79,58461,0.45,0.24,0.0
LHR,LAX,7470,219,215286,108,34656,0.91,0.31,0.2533
SYD,FRA,11623,367,97062,98,81022,0.77,0.02,0.0
SIN,JFK,3279,176,245618,22,22474,0.47,0.59,0.4243
SYD,LAX,1182,389,425836,89,87422,0.89,0.9,0.5878
LAX,SIN,11079,132,417313,51,11298,0.39,0.06,0.761
SYD,LHR,12174,297,422015,64,91914,0.58,0.19,0.5962
DXB,FRA,5460,480,82201,85,95861,0.8,0.63,0.0
SIN,CDG,621,204,366386,43,81888,0.17,0.48,0.526
BOM,LAX,6447,172,347113,9,42449,0.27,0.74,0.6003
SIN,FRA,7196,497,199134,76,24325,0.02,0.58,0.2736
BOM,CDG,6602,54,350834,43,88396,0.22,0.17,0.4819
SYD,SIN,13010,315,470526,16,16748,0.28,0.82,0.8916
FRA,LAX,10381,294,244017,64,50130,0.57,0.08,0.3238
CDG,LAX,2494,458,337302,52,26833,0.14,0.9,0.5689
LHR,BOM,2036,100,457693,49,93013,0.78,0.38,0.6804
CDG,JFK,2174,149,257782,88,49816,0.85,0.65,0.3279
JFK,DXB,12763,380,230333,13,57406,0.11,0.8,0.3329
CDG,FRA,2096,68,140086,89,82036,0.05,0.17,0.0271
LHR,NRT,4950,324,386337,108,83247,0.87,0.25,0.4982
DXB,SYD,9823,270,145704,24,15641,0.17,0.68,0.2361
BOM,CDG,5319,307,454389,44,16343,0.43,0.28,0.8321
DXB,FRA,6098,67,475766,60,51577,0.64,0.2,0.7884
FRA,NRT,11495,167,303402,42,92789,0.75,0.21,0.3792
NRT,NRT,7356,320,360904,82,36404,0.14,0.5,0.567
JFK,SIN,11518,463,135399,95,63416,0.31,0.28,0.049
CDG,CDG,11593,87,272949,23,21144,0.12,0.37,0.4806
NRT,NRT,8225,344,179299,91,67288,0.9,0.5,0.133
FRA,BOM,7595,352,347019,60,13052,0.56,0.09,0.6079
NRT,DXB,11412,261,369413,44,69711,0.83,0.7,0.5554
JFK,CDG,13213,407,137881,96,16403,0.54,0.46,0.147
FRA,NRT,9719,153,266688,61,17338,0.57,0.96,0.4377
SIN,LHR,6260,264,52776,66,12632,0.22,0.65,0.0143
SYD,JFK,11662,76,227629,91,13335,0.42,0.18,0.3376
SIN,SYD,11115,71,198175,78,79479,0.44,0.81,0.1594
BOM,FRA,1490,198,112271,7,7029,0.88,0.39,0.2035
CDG,JFK,13803,85,490862,38,77966,0.22,0.83,0.7878
JFK,CDG,10716,153,259061,9,6883,0.05,0.49,0.4954
FRA,DXB,7366,272,417880,91,79380,0.66,0.57,0.586
BOM,LHR,8272,242,182285,113,42329,0.1,0.79,0.1669
SIN,LHR,1919,416,209861,106,90150,0.22,0.04,0.1334
NRT,FRA,10530,281,54804,77,79422,0.33,0.16,0.0
BOM,SYD,5573,492,280106,88,78720,0.42,0.01,0.3148
NRT,DXB,11687,230,201854,45,74304,0.22,0.74,0.2101
BOM,JFK,10361,373,255658,0,63129,0.06,0.03,0.3851
BOM,FRA,7387,458,457549,68,91323,0.09,0.57,0.6645
FRA,CDG,1015,244,165001,57,10081,0.91,0.94,0.2528
BOM,JFK,9063,334,197812,75,53654,0.04,0.34,0.2133
CDG,BOM,13719,126,27381,79,92760,0.12,0.41,0.0
SYD,FRA,12983,261,455612,102,61733,0.39,0.77,0.6858
DXB,LAX,2711,367,43203,50,66283,0.03,0.53,0.0
SYD,NRT,2120,315,493808,88,17570,0.38,0.73,0.8645
LAX,SIN,9785,309,356571,95,6359,0.96,0.67,0.6054
LAX,SIN,10132,442,166123,45,20215,0.49,0.39,0.2468
SYD,CDG,8261,382,89312,116,93759,0.56,0.01,0.0
SYD,SIN,8008,333,456930,106,47181,0.15,0.81,0.7135
LHR,FRA,6272,129,264657,89,22560,0.32,0.76,0.3952
SIN,SYD,763,292,29435,22,50219,0.95,0.28,0.0
NRT,DXB,11798,59,104121,17,48941,0.67,0.35,0.0934
SIN,FRA,8350,115,173814,119,94441,0.61,0.32,0.0397
FRA,SYD,2560,337,214316,60,90500,0.62,0.4,0.1876
BOM,FRA,10517,161,373689,11,84035,0.86,0.91,0.5683
NRT,LAX,3058,91,172194,56,46359,0.37,0.9,0.1957
LHR,FRA,7105,372,63965,50,36323,0.69,0.99,0.0053
SYD,BOM,12734,387,158106,111,74060,0.05,0.41,0.0571
LAX,JFK,13931,494,32976,84,57023,0.7,0.81,0.0
NRT,FRA,1287,158,429119,20,70246,0.32,0.41,0.6977
BOM,NRT,9248,305,442097,16,50984,0.3,0.91,0.7662
SIN,BOM,2871,300,83487,110,45108,0.97,0.83,0.0
SYD,LHR,1683,382,363099,75,46790,0.34,0.24,0.5576
SYD,DXB,1003,463,36682,47,78494,0.23,0.46,0.0
SIN,LAX,6445,66,91915,12,80606,0.74,0.21,0.0106
DXB,JFK,9956,436,384184,89,61146,0.21,0.47,0.5571
BOM,SIN,2204,290,321849,17,85448,0.29,0.76,0.4558
SIN,LHR,10664,202,137847,3,33645,0.4,0.12,0.2054
LHR,LAX,3455,301,421477,23,70028,0.48,0.16,0.6799
SYD,CDG,10371,59,335277,106,8867,0.79,0.82,0.5468
LHR,LAX,9131,59,312571,62,78070,0.52,0.08,0.407
LAX,LAX,10496,242,419968,43,70163,0.81,0.4,0.6566
DXB,CDG,13320,172,274122,95,32128,0.91,0.94,0.389
FRA,SYD,1018,424,76343,69,88345,0.93,0.37,0.0
SYD,JFK,13191,345,211209,45,95239,0.38,0.16,0.1869
DXB,BOM,11283,154,246549,74,57766,0.43,0.77,0.3036
DXB,NRT,8440,274,469367,114,66782,0.54,0.9,0.6912
JFK,DXB,1449,448,352639,58,28027,0.76,0.48,0.5912
DXB,JFK,4296,86,180449,65,6137,0.44,0.05,0.2836
BOM,SIN,2101,450,412212,52,92429,0.72,0.83,0.5876
SIN,DXB,13289,103,179267,71,60091,0.32,0.39,0.1674
LAX,BOM,4260,388,326022,14,99085,0.25,0.91,0.4399
JFK,JFK,8179,63,370520,66,35511,0.74,0.09,0.604
BOM,LHR,2501,123,212129,111,13621,0.04,0.13,0.286
SYD,LAX,6511,271,52010,81,96229,0.11,0.97,0.0
BOM,CDG,1059,298,207326,17,17556,0.02,0.37,0.3625
JFK,DXB,5956,457,37422,24,18648,0.49,0.9,0.0135
LHR,SIN,10776,211,226019,11,12208,0.99,0.64,0.4166
CDG,FRA,10036,463,366121,60,81616,0.07,0.56,0.509
NRT,BOM,6993,387,277197,42,40726,1.0,0.87,0.4309
JFK,FRA,5078,168,367096,52,60390,0.01,0.55,0.5614
LHR,DXB,4585,360,433287,27,88908,0.52,0.77,0.6618
SYD,LAX,945,398,140582,35,61453,0.32,0.16,0.1233
FRA,CDG,8190,484,453983,90,84553,0.94,0.91,0.6489
SYD,LHR,13254,267,87473,40,99899,0.41,0.06,0.0
SYD,DXB,8166,314,231855,95,55036,0.91,0.82,0.2586
LHR,DXB,7662,467,141642,38,60525,1.0,0.6,0.1242
NRT,LHR,1346,64,393590,14,41077,0.6,0.16,0.691
NRT,CDG,2427,165,229474,29,10017,0.88,0.59,0.4099
JFK,CDG,7639,205,146876,53,10645,0.14,0.98,0.2195
LAX,CDG,10457,368,211146,22,44750,0.85,0.19,0.3108
CDG,BOM,13357,55,123544,34,19991,0.64,0.69,0.1731
NRT,LHR,2575,181,64559,106,62394,0.17,0.12,0.0
JFK,LAX,11620,255,266062,34,45865,0.82,0.31,0.4064
SIN,SYD,8687,421,203053,48,20725,0.98,0.27,0.3167
NRT,DXB,13348,221,174044,25,48349,0.51,0.72,0.2264
FRA,LHR,10292,54,102143,97,26470,0.28,0.16,0.0543
NRT,LAX,5992,327,51765,3,76345,0.13,0.85,0.0
LAX,JFK,7113,237,139147,38,43276,0.05,0.08,0.1537
SIN,LHR,3470,499,453917,68,76032,0.68,0.14,0.6878
LHR,JFK,10933,493,200404,50,87489,0.49,0.79,0.1758
CDG,BOM,10843,113,124445,46,69337,0.53,0.4,0.0642
JFK,FRA,1955,258,314408,83,49339,0.3,0.99,0.4471
SYD,JFK,9862,238,179228,100,24505,0.17,0.23,0.2094
JFK,SYD,9008,51,44594,94,60311,0.62,0.48,0.0
JFK,JFK,10294,475,409926,100,48600,0.75,0.62,0.6227
DXB,CDG,6816,160,62748,112,36184,0.72,0.69,0.0
BOM,LAX,10493,479,102541,107,98573,0.95,0.2,0.0
DXB,NRT,11724,135,245041,90,96286,0.11,0.61,0.2075
SYD,CDG,7985,377,117071,110,68095,0.47,0.24,0.0
JFK,SYD,10802,346,479962,86,46530,0.95,0.52,0.7809
FRA,LHR,12444,379,337567,5,54277,0.41,0.69,0.5616
BOM,JFK,3836,297,76208,69,33929,0.13,0.63,0.0156
SIN,DXB,8525,86,460856,38,80838,0.28,0.56,0.722
LHR,SIN,7080,283,250624,87,43194,0.18,0.98,0.3279
DXB,NRT,9623,167,458240,15,78148,0.49,0.67,0.7452
FRA,SIN,11611,293,101261,76,15173,0.49,0.48,0.0962
FRA,CDG,11648,305,44361,119,14354,0.45,0.98,0.0
FRA,SYD,11588,452,215828,41,72557,0.46,0.08,0.2455
NRT,LAX,12532,183,33779,6,14428,0.51,0.32,0.0327
BOM,JFK,12914,206,339541,48,31593,0.68,0.25,0.5679
LAX,SIN,4730,336,106733,6,69437,0.46,0.21,0.0686
LHR,NRT,12435,441,225467,48,59071,0.33,0.63,0.2848
NRT,JFK,3285,240,391985,25,38653,0.33,0.04,0.6817
FRA,LHR,3376,444,481704,1,21484,0.42,0.21,0.9194
DXB,CDG,13283,419,228618,112,10492,0.61,0.2,0.3243
LAX,CDG,1621,93,352294,109,22799,0.53,0.73,0.55
CDG,LAX,4990,371,303436,51,65815,0.01,0.29,0.4242
CDG,JFK,12750,428,321052,64,88575,0.98,0.54,0.401
BOM,JFK,2596,446,54054,109,36671,0.39,0.08,0.0
NRT,SYD,5092,58,138911,98,24191,0.18,0.74,0.1314
JFK,DXB,1868,311,309443,0,59230,0.82,0.46,0.5004
NRT,DXB,6531,84,212185,73,95875,0.89,0.83,0.1596
SIN,BOM,13151,109,226768,56,10684,0.7,0.86,0.3762
JFK,CDG,12962,233,308650,29,64217,0.0,0.25,0.4599
SIN,SYD,2476,438,244579,61,16277,0.21,0.04,0.3956
BOM,JFK,4121,163,347967,53,69432,0.77,0.63,0.5041
SYD,CDG,8616,79,30032,74,18256,0.39,0.55,0.0
NRT,FRA,4233,447,159100,17,58553,0.33,0.2,0.1841
SIN,FRA,13244,140,45761,9,87418,0.57,0.48,0.0
CDG,BOM,11388,326,140708,4,64399,0.18,0.27,0.1486
BOM,NRT,1454,395,220669,102,49895,0.64,0.17,0.2395
BOM,JFK,2799,223,453116,119,22024,0.26,0.25,0.7432
JFK,DXB,9703,277,248379,71,89303,0.41,0.28,0.2472
DXB,CDG,13375,209,158193,94,76173,0.53,0.73,0.07
JFK,SIN,9979,474,462371,102,12671,0.77,0.75,0.7974
LHR,CDG,4638,104,276456,104,18644,0.93,0.99,0.4116
LAX,CDG,9607,179,369484,1,45426,0.76,0.32,0.6471
LAX,CDG,535,282,308204,61,21450,0.33,0.28,0.5125
BOM,JFK,7710,262,356784,64,12487,0.65,0.67,0.6246
SIN,DXB,7679,400,193091,1,89052,0.96,0.87,0.2071
SYD,NRT,11893,171,479624,87,64731,0.39,0.8,0.7428
LAX,SIN,5126,364,38315,57,24887,0.03,0.31,0.0
FRA,DXB,5610,222,48026,67,12223,0.97,0.14,0.0046
LHR,LHR,1216,264,403105,33,81134,0.81,0.24,0.6109
LAX,NRT,10413,151,388196,98,33576,0.11,0.24,0.6112
LHR,JFK,8444,346,347965,59,99201,0.42,0.43,0.4385
JFK,CDG,9306,117,463992,61,14486,0.18,0.41,0.838
BOM,DXB,7159,469,380838,100,57911,0.02,0.03,0.5459
SYD,LHR,1760,354,233608,67,10214,0.38,0.59,0.3798
BOM,DXB,13716,142,147597,27,17534,0.6,0.13,0.2331
NRT,BOM,4957,135,17431,95,47331,0.07,0.91,0.0
CDG,BOM,5577,119,160767,37,33578,0.45,0.79,0.2174
NRT,JFK,10309,56,268027,94,98389,0.6,0.03,0.2453
CDG,SYD,13831,446,496422,98,39116,0.1,0.59,0.8166
DXB,BOM,2447,146,159392,81,97820,0.13,0.6,0.0421
NRT,SIN,11053,245,131323,106,5197,0.65,0.62,0.1463
LHR,LHR,10042,207,228206,81,57127,0.37,0.57,0.2612
SYD,JFK,13921,330,232318,70,38061,0.92,0.21,0.3185
NRT,SIN,1475,104,250167,77,76258,0.13,0.65,0.2708
JFK,NRT,1577,167,325232,13,41999,0.9,0.86,0.5535
SYD,NRT,3403,179,267191,60,62875,0.38,0.28,0.3486
NRT,JFK,10186,460,348379,113,79252,0.32,1.0,0.4253
NRT,SYD,3650,51,374952,31,43636,0.97,0.25,0.6316
NRT,LAX,8987,66,303203,90,5854,0.32,1.0,0.5047
JFK,LHR,5194,137,259219,46,28482,0.5,0.34,0.4155
SYD,DXB,10100,368,290103,88,51879,0.21,0.4,0.3884
JFK,SIN,8661,158,411134,13,24282,0.69,0.93,0.7607
SIN,LHR,11163,196,248372,74,59956,0.05,0.32,0.3028
SYD,NRT,6151,199,274378,118,25045,0.95,0.62,0.3807
NRT,SYD,2835,307,310900,95,71256,0.19,0.15,0.3843
SIN,DXB,9001,464,352089,41,75202,0.75,0.48,0.5128
DXB,SYD,2340,337,198748,8,96506,0.24,0.1,0.1965
LAX,JFK,11197,172,41604,44,10542,0.19,0.64,0.0181
LHR,LAX,11471,158,361427,94,47100,0.71,0.85,0.5347
LHR,FRA,12595,315,134430,29,84552,0.67,0.39,0.0708
BOM,DXB,11403,295,235279,74,58839,0.42,0.45,0.2789
FRA,JFK,13288,52,104600,45,6196,0.7,0.5,0.1518
BOM,BOM,1336,367,103964,3,91994,0.19,0.6,0.0209
NRT,NRT,6903,398,168854,105,47977,0.99,0.16,0.1368
NRT,LAX,11247,149,365893,28,53662,0.08,0.01,0.5965
DXB,DXB,3841,179,115991,23,47904,0.66,0.26,0.1132
CDG,NRT,3339,202,287206,81,85378,0.64,0.51,0.3227
FRA,JFK,9159,191,79554,19,16261,0.2,0.64,0.1076
DXB,FRA,7446,380,42513,58,24549,0.13,0.23,0.0
SYD,DXB,3494,429,278520,77,92106,0.69,0.2,0.2958
SYD,SYD,7077,360,90252,15,67809,0.85,0.79,0.0299
NRT,BOM,5138,452,200170,79,15447,0.15,0.01,0.2904
BOM,CDG,8459,465,473249,38,63532,0.93,0.82,0.7814
CDG,SIN,10184,249,489689,15,87900,0.53,0.29,0.7886
LAX,NRT,2531,77,235863,40,5702,0.32,0.99,0.4203
SYD,BOM,672,419,63653,114,60076,0.08,0.08,0.0
SYD,DXB,7697,107,392949,13,69884,0.48,0.33,0.6331
BOM,NRT,5571,254,137262,73,78385,0.68,0.18,0.0448
JFK,DXB,3247,401,267006,26,24833,0.36,0.85,0.4583
LAX,LAX,8387,313,185648,14,79473,0.24,0.63,0.1984
NRT,FRA,12558,319,330926,119,31425,0.31,0.23,0.48
LHR,SIN,3884,119,198717,24,90787,0.09,0.91,0.1919
SYD,LHR,5990,243,111008,11,79550,0.64,0.34,0.0519
CDG,SYD,5758,477,385415,71,73455,0.38,0.35,0.5529
LHR,SYD,10778,169,419958,26,40479,0.06,0.35,0.733
SIN,SIN,13237,165,100581,27,83687,0.12,0.8,0.0068
LHR,SIN,2706,289,237692,73,68368,0.7,0.48,0.2656
