airport,hour_of_day,day_of_week,month,flights_per_hour,gate_utilization_pct,runway_utilization_pct,avg_taxi_time_min,weather_score,congestion_level
SIN,13,1,11,29,39,40,15,0.81,low
LHR,1,5,5,58,98,58,37,0.66,high
SIN,17,6,4,47,41,61,14,0.27,medium
JFK,5,5,5,48,89,63,43,0.89,high
DXB,13,3,6,55,20,38,29,0.64,medium
DXB,7,4,2,53,33,41,53,0.54,medium
SIN,13,1,11,24,78,94,26,0.37,medium
DXB,12,2,12,66,32,75,13,0.99,high
LAX,0,3,1,12,92,22,41,0.14,medium
SYD,22,6,8,33,36,38,29,0.58,low
SIN,12,1,1,10,30,29,58,0.33,low
BOM,9,3,1,66,30,66,42,0.15,medium
LAX,5,5,4,47,65,88,12,0.19,high
DXB,23,5,9,74,36,34,43,0.98,medium
LHR,2,6,3,74,98,32,59,0.17,high
BOM,12,3,4,37,96,24,23,0.34,medium
BOM,5,0,4,19,21,23,53,0.88,low
CDG,12,0,1,15,34,58,9,0.02,low
CDG,7,0,12,16,21,79,34,0.41,low
SYD,13,4,10,24,25,61,59,0.95,low
FRA,8,1,5,12,93,93,59,0.29,medium
SIN,15,6,12,41,41,57,59,0.08,medium
FRA,16,0,10,14,25,52,9,0.1,low
LHR,12,2,4,79,66,38,20,0.18,high
FRA,18,4,1,32,62,46,17,0.57,medium
BOM,10,1,12,16,64,97,15,0.82,medium
JFK,10,1,9,79,31,47,59,0.18,medium
SYD,8,4,11,64,89,23,23,0.09,high
DXB,12,3,9,22,98,36,51,0.78,medium
NRT,0,4,5,29,92,78,8,0.63,high
LAX,7,3,1,68,80,29,48,0.64,high
DXB,7,1,3,12,87,56,42,0.91,medium
BOM,2,1,9,41,30,56,35,0.88,medium
LAX,8,4,1,26,88,71,6,0.23,medium
LHR,16,1,2,38,95,91,5,0.04,high
BOM,11,5,5,63,39,82,49,0.69,high
BOM,23,1,7,33,62,76,41,0.22,medium
LAX,23,0,12,5,48,77,18,0.02,low
FRA,14,5,6,66,62,25,40,0.29,medium
DXB,10,2,3,10,47,68,26,0.93,low
BOM,6,5,9,30,95,55,16,0.68,medium
BOM,6,1,8,66,60,31,51,0.93,medium
JFK,10,1,3,36,21,54,36,0.36,medium
CDG,7,2,10,19,51,85,6,0.76,medium
BOM,14,5,8,21,25,69,49,0.39,low
BOM,12,2,10,15,67,52,27,0.32,medium
LHR,7,0,1,30,76,86,44,0.0,medium
JFK,8,6,8,59,81,55,29,0.02,high
LAX,11,4,12,70,78,71,38,0.97,high
DXB,8,1,12,30,59,41,59,0.18,medium
FRA,21,2,12,25,56,59,52,0.86,medium
LHR,8,2,12,60,20,90,51,0.51,medium
NRT,14,0,3,66,64,95,56,0.87,high
JFK,22,1,6,58,85,80,30,0.26,high
NRT,10,5,5,31,33,37,49,0.08,low
JFK,6,4,11,31,82,65,5,0.53,medium
LHR,10,4,2,23,25,29,5,0.84,low
NRT,14,6,2,19,58,74,54,0.08,medium
JFK,22,1,12,51,94,27,39,0.94,medium
NRT,8,1,10,50,37,91,14,0.25,medium
DXB,4,3,6,71,59,38,45,0.83,medium
BOM,1,4,8,20,24,91,36,0.85,medium
DXB,22,0,6,50,70,83,5,0.15,high
SIN,17,2,11,10,58,57,24,0.4,low
CDG,10,0,3,57,73,57,13,0.47,high
LHR,2,2,7,30,89,20,43,0.12,medium
BOM,4,1,8,62,75,32,47,0.47,medium
NRT,12,4,4,26,38,93,39,0.12,medium
DXB,19,4,2,30,51,65,22,0.18,medium
SIN,23,0,2,39,68,21,15,0.3,medium
JFK,8,5,9,8,77,40,18,0.08,low
JFK,22,6,6,56,83,41,34,0.6,high
SIN,18,1,1,70,28,63,52,0.79,medium
SYD,15,4,6,58,28,79,28,0.97,medium
FRA,11,5,2,56,76,48,44,0.17,high
SYD,5,1,11,72,79,74,51,0.1,high
LHR,10,5,6,33,29,97,38,0.17,medium
NRT,20,6,11,14,71,94,32,0.95,medium
CDG,22,6,12,35,27,40,45,0.35,low
SIN,13,1,6,6,42,47,59,0.72,low
LHR,20,6,7,29,34,57,5,0.17,medium
LHR,17,5,4,75,78,60,57,0.37,high
SYD,1,2,7,25,32,43,21,0.73,low
DXB,15,5,10,46,22,70,20,0.22,medium
CDG,17,4,5,62,97,74,37,0.23,high
BOM,21,4,3,79,76,53,53,0.28,high
NRT,10,5,11,35,47,23,51,0.65,low
SIN,15,5,8,44,85,40,43,0.32,medium
CDG,21,1,10,71,98,80,27,0.1,high
SYD,15,2,7,8,59,79,8,0.62,medium
SYD,16,1,8,63,54,48,53,0.27,medium
SYD,5,2,6,57,74,20,54,0.05,medium
SYD,8,0,6,14,59,79,23,0.12,medium
FRA,16,2,11,47,61,29,44,0.17,medium
FRA,14,4,6,5,21,84,59,0.47,low
JFK,1,4,1,5,59,37,21,0.06,low
SYD,7,6,4,67,71,23,10,0.92,medium
FRA,3,2,5,21,54,90,53,0.5,medium
NRT,18,1,3,9,61,98,56,0.16,medium
DXB,5,1,5,74,26,62,46,0.89,medium
JFK,23,5,1,27,40,96,34,0.32,medium
SIN,14,0,2,52,64,33,34,0.54,medium
LAX,3,5,5,10,84,86,13,0.7,medium
NRT,17,0,6,43,74,74,46,0.87,high
LAX,20,2,5,25,75,95,12,0.65,medium
SIN,17,3,8,10,65,54,41,0.58,medium
FRA,7,5,8,25,60,72,41,0.58,medium
SIN,17,4,7,70,42,90,13,0.39,high
JFK,7,2,12,20,90,66,41,0.56,medium
NRT,9,5,9,18,32,31,51,0.17,low
LHR,10,3,7,65,89,69,35,0.3,high
JFK,0,4,3,21,51,34,21,0.7,low
DXB,11,1,7,14,83,40,34,0.96,medium
LHR,23,4,6,26,26,75,30,0.63,medium
CDG,3,3,7,32,75,94,48,0.04,high
FRA,0,0,3,16,93,98,55,0.76,high
SYD,7,2,10,35,69,70,16,0.78,medium
FRA,18,2,3,79,90,58,34,0.21,high
LAX,17,3,8,57,24,24,38,0.94,medium
SYD,23,6,8,12,92,29,37,0.79,medium
SYD,5,3,5,48,68,53,16,0.45,medium
LAX,11,4,2,6,65,44,32,0.84,low
LAX,14,3,4,51,38,71,19,0.86,medium
SIN,8,1,8,76,23,23,9,0.8,medium
BOM,7,2,2,26,74,28,13,0.13,medium
SYD,22,6,12,59,90,39,7,0.42,high
NRT,6,6,6,60,82,24,27,0.76,medium
FRA,5,0,7,68,87,33,7,0.29,high
DXB,20,4,5,70,79,37,32,0.4,high
JFK,17,5,10,59,50,79,16,0.06,high
LHR,9,5,2,76,41,96,15,0.37,high
BOM,9,6,5,59,43,38,40,0.84,medium
LHR,10,3,6,69,75,29,14,0.2,high
CDG,21,2,9,76,47,49,33,0.22,high
CDG,10,3,1,13,22,92,50,0.62,medium
JFK,23,5,5,73,54,55,29,0.21,high
BOM,0,5,5,59,81,91,32,0.55,high
NRT,6,3,4,65,53,73,27,0.19,high
LHR,18,1,5,16,30,61,26,0.55,low
DXB,8,5,8,20,97,42,37,0.94,medium
LAX,15,2,12,64,60,38,23,0.14,medium
JFK,23,4,12,21,68,46,57,0.42,medium
LHR,22,2,1,9,61,33,34,0.71,low
LAX,12,3,9,47,20,84,16,0.67,medium
SYD,8,1,5,46,82,73,37,0.22,high
DXB,17,4,4,38,44,29,9,0.93,medium
LHR,13,2,9,33,60,32,18,0.83,medium
NRT,10,2,11,77,94,64,42,0.76,high
NRT,6,3,11,67,86,75,20,0.89,high
JFK,22,5,8,37,55,48,35,0.23,medium
LHR,20,0,12,36,82,32,16,0.87,medium
LAX,14,5,7,29,88,23,47,0.97,medium
LAX,1,1,11,13,54,80,46,0.13,medium
SYD,0,3,5,23,22,72,22,0.3,low
DXB,0,1,3,49,34,21,11,0.67,medium
LHR,16,2,3,18,78,36,14,0.13,medium
BOM,13,2,6,28,40,73,42,0.45,medium
FRA,23,1,3,22,64,90,50,0.38,medium
CDG,7,1,5,59,47,38,11,0.94,medium
BOM,16,1,2,65,78,20,37,0.17,medium
FRA,20,0,6,7,24,62,46,0.74,low
LHR,19,6,9,30,64,39,54,0.72,medium
SYD,9,4,2,22,38,43,11,0.96,low
LHR,8,1,5,46,49,69,13,0.78,medium
LAX,5,0,12,27,53,50,41,0.3,medium
DXB,1,1,4,31,77,30,35,0.51,medium
NRT,10,4,8,10,23,46,56,0.11,low
CDG,0,5,10,56,41,33,53,0.07,medium
JFK,20,5,2,37,25,63,22,0.37,medium
SYD,21,0,9,36,20,89,54,0.23,medium
SYD,23,3,12,30,71,23,10,0.3,medium
BOM,8,3,6,45,20,76,13,0.52,medium
JFK,13,0,4,6,71,64,40,0.64,medium
LAX,19,1,5,13,42,53,47,0.92,low
LAX,17,0,12,19,95,25,8,0.35,medium
JFK,23,5,10,48,99,90,47,0.39,high
SIN,2,0,2,25,75,30,11,0.61,medium
SIN,23,4,3,75,88,50,49,0.84,high
NRT,8,3,10,39,67,77,12,0.39,medium
LHR,17,6,8,51,66,65,6,0.08,medium
LAX,0,6,3,11,71,25,20,0.22,low
JFK,23,3,4,8,83,99,43,0.88,medium
NRT,22,1,5,15,51,30,38,0.93,low
JFK,0,3,11,27,69,35,25,0.63,medium
FRA,20,1,5,67,78,26,9,0.08,medium
JFK,15,0,7,36,74,98,54,0.94,high
SIN,0,3,11,35,49,27,58,0.53,medium
LHR,2,4,3,45,87,43,23,0.12,medium
NRT,10,5,4,62,46,29,51,0.09,medium
DXB,19,1,5,58,28,54,15,0.92,medium
FRA,9,1,5,74,87,28,51,0.04,high
LHR,21,1,1,31,92,48,55,0.9,medium
NRT,12,2,12,6,21,25,52,0.58,low
BOM,4,4,12,21,67,92,24,0.83,medium
LHR,23,3,3,53,60,85,7,0.75,high
CDG,7,5,10,36,60,99,43,0.2,high
LHR,0,4,10,8,35,88,44,0.66,medium
LAX,9,5,4,66,35,65,36,0.26,medium
LHR,15,2,5,18,93,52,16,0.69,medium
BOM,5,3,9,51,43,44,38,0.2,medium
SYD,5,4,10,36,31,97,45,0.54,medium
SIN,11,6,7,69,86,32,25,0.86,high
SYD,23,5,8,63,68,29,50,0.52,medium
SIN,15,4,12,42,44,48,56,0.12,medium
NRT,20,1,12,67,42,61,56,0.91,medium
LAX,4,3,2,21,48,29,26,0.76,low
JFK,18,1,3,6,75,75,9,0.67,medium
NRT,20,2,2,33,36,64,32,0.78,medium
DXB,20,2,5,72,58,72,18,0.47,high
BOM,3,1,3,28,59,41,55,0.24,medium
DXB,1,5,3,61,33,88,36,0.57,high
FRA,22,3,10,51,51,35,38,0.54,medium
SYD,4,2,4,64,69,79,17,0.52,high
SIN,12,3,1,32,65,32,53,0.85,medium
DXB,22,5,3,5,27,38,29,0.3,low
BOM,12,0,2,5,32,72,12,0.98,low
CDG,18,3,1,36,42,41,52,0.95,medium
SIN,19,5,7,47,98,98,7,0.52,high
DXB,8,1,6,69,23,55,13,0.74,medium
NRT,8,6,11,26,51,57,43,0.33,medium
LAX,2,1,2,75,84,58,9,0.42,high
LHR,21,6,1,41,48,93,20,0.52,medium
FRA,10,4,8,65,40,21,50,0.89,medium
CDG,14,6,4,33,73,24,11,0.89,medium
BOM,6,6,5,70,44,20,23,0.71,medium
JFK,15,4,3,36,96,62,44,0.13,high
BOM,16,0,1,49,82,65,49,0.59,high
SYD,0,1,12,33,85,39,22,0.86,medium
JFK,4,2,12,35,96,76,16,0.75,high
LHR,13,6,3,76,25,22,52,0.78,medium
DXB,21,6,5,43,71,52,12,0.14,medium
SYD,16,4,1,34,50,38,32,0.08,medium
LAX,17,5,12,66,78,44,26,0.91,high
NRT,6,6,5,5,70,43,55,0.58,low
LHR,23,5,9,73,95,84,9,0.09,high
SIN,22,1,8,29,92,30,58,0.46,medium
SYD,1,4,7,12,98,34,32,0.58,medium
FRA,2,0,9,39,83,96,35,0.19,high
SIN,20,0,11,78,72,93,52,0.03,high
LAX,5,6,3,42,59,87,38,0.64,medium
LAX,5,2,6,79,52,91,39,0.7,high
LAX,7,0,12,25,56,56,15,0.77,medium
JFK,23,2,6,11,71,78,39,0.99,medium
FRA,0,4,12,27,85,70,32,0.06,medium
FRA,7,0,10,60,55,50,11,0.97,medium
SIN,10,4,8,45,48,47,40,0.88,medium
SYD,10,5,4,41,73,87,49,0.9,high
NRT,15,5,5,53,34,59,15,0.37,medium
SIN,21,5,3,79,25,70,24,0.67,high
LAX,21,0,6,27,31,21,19,0.22,low
JFK,1,6,9,43,22,62,23,0.75,medium
CDG,18,0,5,60,92,89,23,0.62,high
SIN,16,6,11,11,50,73,29,0.93,medium
BOM,14,3,4,18,45,52,37,0.08,low
NRT,17,0,11,8,99,91,52,0.31,medium
BOM,3,4,7,56,40,27,52,0.77,medium
DXB,16,3,12,42,81,48,25,0.14,medium
NRT,19,1,2,73,37,86,29,0.3,high
NRT,17,1,6,38,61,45,37,0.36,medium
LHR,7,3,3,75,81,79,6,0.57,high
SIN,9,4,7,61,80,70,28,0.53,high
LHR,8,4,3,76,27,39,29,0.9,medium
BOM,11,6,2,39,55,58,49,0.92,medium
LAX,14,3,3,8,50,31,28,0.69,low
BOM,7,0,7,33,75,63,25,0.15,medium
CDG,16,2,10,51,80,40,16,0.91,medium
JFK,17,6,6,33,70,90,39,0.96,medium
FRA,1,2,4,31,37,58,41,0.48,medium
SIN,13,6,5,52,59,70,41,0.34,medium
SYD,14,1,4,40,37,76,12,0.59,medium
NRT,9,2,5,17,63,57,29,0.54,medium
SYD,3,0,8,41,44,29,14,0.68,medium
SYD,5,2,2,17,35,76,12,0.04,medium
BOM,0,5,11,20,97,89,44,0.06,high
LAX,9,5,12,79,83,97,43,0.67,high
NRT,6,5,8,21,95,49,44,0.59,medium
DXB,6,6,10,40,91,55,25,0.4,medium
DXB,0,3,6,68,71,56,5,0.22,high
NRT,15,5,6,27,67,93,12,0.58,medium
LHR,11,3,10,51,50,71,7,0.63,medium
LAX,18,1,2,39,86,56,23,0.4,medium
NRT,11,2,10,46,89,20,49,0.36,medium
JFK,12,3,10,47,21,22,10,0.09,low
CDG,22,4,5,11,68,25,25,0.72,low
SIN,6,2,3,50,59,48,31,0.65,medium
FRA,21,1,3,16,81,87,19,0.26,medium
DXB,17,3,5,13,50,37,45,0.46,low
SIN,1,4,10,16,97,24,22,0.84,medium
CDG,1,5,9,11,85,63,36,0.68,medium
SIN,6,5,8,43,59,59,49,0.39,medium
SYD,10,2,8,63,74,26,37,0.09,medium
DXB,12,1,10,20,43,25,25,0.14,low
NRT,1,4,9,53,58,30,55,0.81,medium
FRA,21,2,12,31,27,50,11,0.17,low
SYD,8,0,9,47,53,70,16,0.63,medium
LHR,14,4,12,77,71,74,36,0.33,high
LHR,19,4,6,63,82,85,25,0.08,high
LAX,5,6,3,22,60,47,35,0.94,medium
JFK,19,5,2,74,49,30,15,1.0,medium
CDG,21,3,3,37,76,40,56,0.75,medium
NRT,0,1,2,49,68,78,25,0.12,high
JFK,11,2,8,39,32,94,55,0.62,medium
NRT,9,1,7,49,95,64,48,0.95,high
SYD,1,6,12,44,29,29,44,0.98,low
SYD,17,1,10,67,38,96,6,0.03,high
LHR,23,1,11,52,93,33,58,0.15,medium
DXB,5,1,1,63,20,64,42,0.68,medium
NRT,2,5,12,6,92,49,20,0.62,medium
FRA,23,1,11,27,83,81,14,0.01,medium
LAX,15,3,10,28,41,29,19,0.6,low
SIN,10,6,10,75,61,83,54,0.4,high
CDG,21,4,11,65,23,93,21,0.01,high
JFK,17,4,9,22,95,69,41,0.76,medium
NRT,8,4,11,34,64,84,31,0.95,medium
SYD,10,6,7,71,70,87,54,0.78,high
SIN,11,1,12,35,95,25,11,0.83,medium
CDG,6,0,2,43,47,75,11,0.36,medium
DXB,3,1,3,13,32,76,6,0.17,low
DXB,15,1,12,56,20,46,17,0.58,medium
FRA,0,3,6,51,62,30,34,0.41,medium
BOM,13,0,8,61,35,49,34,0.39,medium
SIN,3,4,12,70,63,95,30,0.33,high
SIN,1,4,8,10,44,90,6,0.52,medium
NRT,15,2,12,17,51,23,48,0.44,low
LAX,21,4,4,32,97,25,34,0.31,medium
DXB,16,4,4,32,25,79,18,0.78,medium
SYD,23,5,10,18,35,62,39,0.24,low
FRA,11,5,10,42,76,38,35,0.65,medium
SIN,2,5,11,54,72,73,21,0.19,high
BOM,3,1,7,51,88,59,39,0.91,high
NRT,3,1,4,69,98,39,33,0.19,high
JFK,8,6,7,68,68,22,14,0.97,medium
LAX,22,4,1,44,58,72,57,0.16,medium
CDG,5,2,9,71,79,35,58,0.17,high
NRT,13,2,12,7,93,66,53,0.63,medium
LHR,1,2,5,46,50,94,17,0.33,high
FRA,9,2,9,44,67,68,53,0.22,medium
JFK,23,5,10,34,34,63,30,0.04,medium
BOM,22,2,8,20,53,97,56,0.29,medium
JFK,22,6,3,60,68,66,20,0.54,high
DXB,18,3,2,39,88,71,41,0.36,high
NRT,10,5,2,5,61,31,49,0.17,low
CDG,9,6,5,33,86,26,7,0.74,medium
SYD,3,0,11,61,82,30,25,0.3,medium
LAX,10,0,11,32,76,38,16,0.12,medium
NRT,18,4,6,25,66,30,44,0.71,medium
SYD,16,4,1,16,33,52,7,0.12,low
FRA,18,0,1,77,57,82,58,0.06,high
DXB,0,1,11,63,98,20,56,0.98,high
FRA,9,6,1,40,96,32,32,0.04,medium
SYD,16,3,3,55,85,86,27,0.71,high
LAX,5,0,11,39,55,52,30,0.43,medium
FRA,15,1,3,13,27,65,19,1.0,low
DXB,3,5,2,63,92,89,42,0.36,high
SYD,3,2,10,47,22,58,53,0.68,medium
FRA,8,4,6,25,21,27,17,0.55,low
SYD,7,6,4,36,77,38,28,0.05,medium
SYD,17,0,7,21,71,92,17,0.32,medium
FRA,11,6,9,32,38,82,18,0.48,medium
LHR,6,1,8,43,79,54,10,0.27,medium
LHR,21,4,4,31,98,46,40,0.92,medium
BOM,15,6,2,47,58,86,11,0.97,high
LHR,21,6,9,38,62,99,43,0.05,high
LAX,8,5,10,8,88,39,21,0.23,medium
JFK,19,3,12,66,34,98,43,0.48,high
FRA,18,0,6,8,40,43,35,0.62,low
NRT,23,5,4,14,23,66,30,0.79,low
BOM,0,5,10,49,85,55,53,0.64,high
SIN,11,4,9,60,43,93,6,0.43,high
SYD,14,6,11,65,86,88,10,0.67,high
NRT,19,0,2,46,39,22,17,0.46,medium
JFK,22,5,2,50,42,48,40,0.36,medium
LHR,20,6,12,61,21,35,19,0.01,medium
LAX,21,6,12,78,84,48,36,0.94,high
JFK,2,3,1,38,63,42,53,0.47,medium
SIN,8,0,1,52,83,50,39,0.33,high
DXB,7,5,11,40,31,83,32,0.06,medium
LAX,18,2,12,23,24,95,50,0.76,medium
BOM,14,1,11,59,55,83,38,0.05,high
FRA,13,6,5,78,83,59,22,0.32,high
BOM,9,3,10,53,86,30,41,0.25,medium
LHR,21,2,4,18,33,58,48,0.01,low
CDG,13,4,5,78,99,82,24,0.24,high
SIN,0,0,10,76,83,31,21,0.6,high
SYD,12,1,3,59,79,51,43,0.79,high
SIN,23,0,4,39,64,87,39,0.88,medium
FRA,22,3,6,54,44,56,17,0.62,medium
LAX,12,5,5,5,70,75,9,0.78,medium
BOM,2,2,6,69,46,36,37,0.42,medium
SYD,12,2,11,63,62,38,18,0.86,medium
NRT,2,3,2,8,73,49,50,0.01,medium
SIN,14,1,9,66,30,21,6,0.83,medium
JFK,6,6,1,28,50,62,39,0.03,medium
SIN,20,4,10,71,55,25,28,0.29,medium
BOM,13,1,12,31,86,40,45,0.5,medium
BOM,20,5,5,25,80,76,39,0.48,medium
SIN,11,1,6,36,21,32,22,0.6,low
FRA,20,5,6,15,49,40,41,0.88,low
BOM,7,2,12,27,69,44,8,0.29,medium
LAX,8,1,11,5,37,84,49,0.48,low
CDG,5,0,1,55,57,60,23,0.44,medium
SIN,13,4,6,64,61,65,36,0.06,high
CDG,13,5,4,71,67,50,34,0.39,high
NRT,1,1,3,23,42,24,5,0.11,low
NRT,5,0,8,10,38,24,52,0.73,low
FRA,17,2,8,62,37,59,6,0.58,medium
LAX,11,1,1,45,93,22,12,0.59,medium
NRT,18,5,5,40,95,25,18,0.23,medium
LAX,20,2,9,43,56,30,56,0.34,medium
CDG,15,1,1,69,82,31,10,0.18,high
NRT,19,2,8,17,26,42,46,0.07,low
BOM,23,0,7,7,84,23,13,0.1,low
LAX,17,0,4,26,44,76,47,0.43,medium
LAX,6,0,12,49,72,31,46,0.25,medium
JFK,2,2,9,7,52,34,46,0.67,low
LAX,15,0,2,27,72,47,28,0.67,medium
JFK,5,6,6,72,76,53,46,0.44,high
SIN,3,5,3,28,48,74,14,0.45,medium
LAX,0,1,12,15,50,46,34,0.43,low
NRT,18,0,8,76,86,34,28,0.71,high
NRT,3,6,5,33,75,46,15,0.29,medium
SYD,13,3,11,56,84,20,40,0.79,medium
FRA,16,2,5,38,44,50,6,0.01,medium
LAX,7,6,7,47,53,47,34,0.15,medium
LHR,17,4,10,31,89,34,23,0.69,medium
NRT,12,1,12,41,27,73,12,0.96,medium
LAX,13,0,7,74,98,28,31,0.56,high
FRA,22,5,11,64,86,76,24,0.47,high
SYD,7,3,8,56,51,27,37,0.53,medium
NRT,5,2,2,71,41,67,20,0.07,high
SIN,17,4,1,23,60,94,43,0.94,medium
JFK,4,1,7,48,73,51,16,0.39,medium
LHR,4,2,12,71,27,96,36,0.95,high
LHR,12,3,1,34,53,73,58,0.8,medium
FRA,1,2,4,19,50,30,18,0.86,low
SIN,19,4,5,5,49,67,13,0.61,low
LAX,19,0,4,11,79,85,44,0.39,medium
CDG,5,0,3,46,24,93,52,0.9,medium
CDG,1,4,10,67,32,55,32,1.0,medium
CDG,13,0,10,24,68,27,50,0.63,medium
LHR,14,6,10,26,22,52,33,0.44,low
BOM,22,2,3,73,69,32,59,0.62,high
BOM,1,1,5,9,63,64,53,0.37,medium
LAX,15,5,11,72,32,48,40,0.46,medium
LAX,5,1,6,7,32,35,28,0.25,low
BOM,4,3,5,15,65,56,48,0.42,medium
DXB,19,5,11,44,61,51,41,0.69,medium
SIN,21,3,1,50,67,88,53,0.19,high
BOM,9,5,5,43,73,32,12,0.87,medium
CDG,18,4,8,58,71,65,51,0.78,high
SIN,8,1,7,73,52,85,27,0.16,high
LHR,23,3,7,53,86,21,44,0.12,medium
JFK,6,6,5,32,59,38,50,0.94,medium
CDG,6,4,11,31,80,62,16,0.26,medium
JFK,0,0,3,11,90,31,55,0.23,medium
LAX,22,2,8,65,79,89,52,0.52,high
CDG,3,2,11,49,96,94,32,0.86,high
DXB,15,4,5,74,25,72,53,0.49,high
LAX,6,4,9,65,20,26,45,0.22,medium
BOM,0,1,1,45,90,65,29,0.31,high
LAX,18,2,9,69,86,67,10,0.29,high
JFK,17,3,7,49,36,70,30,0.23,medium
DXB,11,6,2,48,60,43,45,0.5,medium
LAX,23,6,2,63,62,94,28,0.43,high
NRT,6,5,8,77,73,72,47,0.19,high
CDG,23,2,12,73,43,66,44,0.24,high
FRA,21,4,3,54,49,81,57,0.87,high
CDG,16,6,9,64,84,31,37,0.81,high
SYD,16,1,8,45,58,78,9,0.04,medium
DXB,22,4,5,26,64,82,16,0.52,medium
SIN,23,2,12,42,85,70,26,0.97,high
SYD,11,0,11,64,61,66,57,0.24,high
CDG,16,2,10,16,31,52,24,0.39,low
DXB,19,5,8,49,66,30,30,0.4,medium
SIN,8,2,10,26,67,99,17,0.15,medium
DXB,3,4,7,71,67,56,12,0.16,high
FRA,20,6,7,42,30,29,7,0.83,low
BOM,10,2,11,46,36,47,40,0.39,medium
BOM,21,1,7,30,28,70,15,0.61,medium
NRT,19,2,2,28,97,34,56,0.17,medium
LAX,21,1,8,17,47,55,36,0.41,low
LHR,21,0,6,7,24,52,34,0.79,low
DXB,6,0,12,9,49,40,15,0.11,low
NRT,2,0,7,30,99,81,14,0.87,high
NRT,2,5,1,6,69,24,24,0.82,low
BOM,6,2,6,36,97,67,51,0.8,high
DXB,7,5,11,36,44,32,57,0.79,medium
BOM,1,5,9,26,88,92,45,0.6,high
DXB,12,4,10,35,54,21,7,0.31,low
FRA,22,5,7,5,40,75,19,0.95,low
LHR,6,4,9,33,46,96,55,0.61,medium
CDG,21,3,9,22,38,67,37,0.35,medium
SIN,0,3,12,39,42,60,31,0.48,medium
JFK,21,5,2,46,34,22,59,0.95,low
LAX,20,1,12,57,59,61,7,0.31,medium
FRA,12,1,1,24,24,43,31,0.48,low
FRA,21,2,12,41,40,98,31,0.74,medium
CDG,13,4,2,5,56,84,34,0.35,medium
DXB,6,4,6,23,29,79,18,0.19,medium
NRT,2,3,12,70,82,43,55,0.39,high
CDG,17,6,1,37,69,26,15,0.15,medium
JFK,12,5,6,29,71,24,44,0.6,medium
NRT,2,1,8,29,37,25,56,0.72,low
FRA,17,6,3,70,92,51,51,0.72,high
LAX,8,3,8,78,48,48,46,0.88,high
LAX,18,2,8,20,39,67,52,0.27,medium
BOM,1,4,8,31,72,36,28,0.62,medium
CDG,17,0,3,78,22,83,45,0.11,high
BOM,12,6,10,14,49,77,30,0.1,medium
DXB,5,5,8,23,30,42,56,0.82,low
DXB,22,2,3,54,83,92,36,0.09,high
DXB,15,0,8,6,21,93,30,0.27,low
LHR,20,0,4,58,41,42,10,0.08,medium
BOM,12,0,11,40,33,50,38,0.55,medium
LHR,17,6,1,49,75,79,23,0.17,high
LAX,10,3,8,51,21,50,40,0.27,medium
LHR,8,2,1,16,79,48,30,0.85,medium
BOM,8,6,1,45,69,35,18,0.52,medium
SYD,19,5,9,12,44,58,48,0.46,low
JFK,3,4,7,29,83,89,46,0.45,high
FRA,22,2,8,9,67,35,36,0.36,low
BOM,5,4,7,72,60,44,32,0.06,high
LHR,11,4,3,20,75,76,58,0.8,medium
SYD,15,1,3,35,63,20,29,0.49,medium
SIN,9,6,4,36,56,87,46,0.57,medium
NRT,13,3,6,56,59,99,23,0.89,high
LHR,22,0,4,43,95,45,33,0.6,medium
JFK,13,1,4,74,42,39,34,0.88,medium
SIN,20,0,11,6,98,47,40,0.48,medium
LHR,23,5,10,6,28,81,7,0.68,low
JFK,8,6,1,60,88,29,49,0.34,high
DXB,15,4,3,25,68,82,14,0.99,medium
JFK,23,2,11,9,58,20,53,0.29,low
SYD,16,3,10,61,90,95,32,0.6,high
CDG,9,6,4,5,32,63,55,0.64,low
JFK,3,3,2,56,93,60,24,0.81,high
FRA,3,5,3,59,54,42,55,0.07,medium
SIN,6,1,7,21,53,85,15,0.52,medium
BOM,8,5,12,24,99,64,8,0.08,medium
FRA,21,1,8,44,36,78,8,0.86,medium
LAX,13,1,8,58,94,82,53,0.68,high
LHR,6,4,1,67,39,29,10,0.44,medium
LAX,2,3,1,34,54,54,56,0.7,medium
FRA,23,3,7,71,81,63,6,0.48,high
FRA,14,4,12,56,75,67,50,0.49,high
SYD,18,4,4,33,97,95,32,0.14,high
DXB,16,5,3,59,85,50,8,0.45,high
CDG,21,4,2,11,55,81,52,0.01,medium
BOM,15,1,7,44,65,34,6,0.21,medium
JFK,6,3,3,33,64,59,25,0.08,medium
JFK,10,4,11,34,66,24,14,0.27,medium
SYD,19,4,2,66,71,90,51,0.65,high
FRA,18,5,9,14,85,49,58,0.36,medium
SIN,6,2,9,38,38,58,10,0.29,medium
SYD,17,2,3,9,90,37,44,0.07,medium
SYD,16,6,8,29,98,26,36,0.1,medium
JFK,21,2,7,16,48,23,30,0.57,low
CDG,19,6,2,75,40,34,23,0.52,medium
FRA,11,3,1,12,60,90,26,0.96,medium
SIN,23,1,4,8,31,88,9,0.23,low
DXB,9,4,10,53,74,56,11,0.13,high
LAX,5,0,6,53,81,46,29,0.8,medium
SIN,22,1,11,30,22,71,5,0.64,medium
JFK,20,2,11,20,69,66,49,0.54,medium
SYD,3,5,5,40,51,56,43,0.16,medium
FRA,19,6,8,69,70,51,5,0.36,high
DXB,1,0,10,39,49,79,9,0.86,medium
