seat_class,flight_delay_min,seat_comfort,food_quality,staff_service,entertainment,cleanliness,wifi_quality,checkin_ease,flight_distance_km,satisfaction
First,32,5,5,5,3,3,5,2,8251,neutral
Business,38,3,5,3,5,4,2,2,11386,neutral
First,0,5,2,2,1,2,4,3,4306,dissatisfied
First,37,5,4,2,5,3,5,2,9012,neutral
First,20,3,4,5,5,3,3,3,7909,neutral
Economy,50,1,1,2,2,5,3,4,10840,dissatisfied
Economy,69,5,1,4,1,3,3,3,13220,dissatisfied
Business,0,4,4,2,1,1,3,2,7391,neutral
Business,40,4,2,2,3,5,2,2,2273,dissatisfied
Business,27,4,2,5,3,5,4,1,8917,neutral
Economy,55,3,1,2,1,5,2,5,3913,dissatisfied
Economy,26,1,3,2,1,4,5,1,9321,dissatisfied
Economy,12,4,3,2,3,2,2,1,2543,dissatisfied
Business,16,2,4,5,2,3,5,5,3448,neutral
Economy,0,5,5,5,5,3,1,2,7764,neutral
Business,9,3,5,4,1,2,1,2,13796,neutral
Economy,42,5,3,5,3,5,5,1,8584,neutral
First,40,1,2,5,4,5,2,1,8366,dissatisfied
First,13,1,4,2,3,1,5,4,11926,dissatisfied
First,71,4,1,4,3,1,3,2,8299,dissatisfied
First,15,2,5,2,2,3,2,2,622,dissatisfied
Business,53,2,3,4,3,5,1,1,11411,dissatisfied
Business,0,4,5,3,4,4,4,2,5292,neutral
Economy,36,3,2,2,2,2,1,4,12298,dissatisfied
Economy,22,5,2,4,3,5,4,1,11787,neutral
Business,9,4,5,3,3,3,5,4,12775,neutral
First,40,3,2,3,2,2,5,4,6704,dissatisfied
First,27,1,1,1,3,3,3,4,6218,dissatisfied
Business,35,1,1,1,5,3,1,3,7125,dissatisfied
Business,39,1,3,1,4,2,1,3,9109,dissatisfied
First,0,3,4,3,2,1,5,4,10572,neutral
First,81,3,2,4,3,4,5,5,3825,dissatisfied
Business,73,5,4,4,5,3,3,2,1492,neutral
First,17,1,5,5,3,5,2,5,5010,neutral
Business,37,4,3,2,3,4,5,1,6208,dissatisfied
First,0,3,2,3,5,5,3,2,4593,dissatisfied
Business,0,2,1,5,1,3,5,5,8936,neutral
Economy,40,5,5,3,5,1,2,5,6928,neutral
Economy,71,1,1,1,2,3,4,1,12488,dissatisfied
First,10,4,5,3,2,3,4,4,3202,neutral
Economy,29,5,1,1,1,5,5,1,8742,dissatisfied
First,0,1,1,1,2,1,2,4,10837,dissatisfied
First,0,4,3,4,1,2,3,2,1886,neutral
Business,2,3,3,1,5,1,1,1,12005,dissatisfied
First,18,2,2,5,3,5,5,2,3742,neutral
Economy,54,1,1,2,3,3,1,3,1263,dissatisfied
Economy,0,5,4,4,1,2,4,3,13216,neutral
Business,0,5,5,4,3,4,5,5,13680,neutral
Business,0,4,2,4,1,1,2,3,3030,neutral
Business,66,5,3,2,2,5,5,3,1366,dissatisfied
Economy,77,5,5,3,2,4,4,1,5714,neutral
First,87,3,5,4,4,5,2,5,5620,dissatisfied
Economy,66,1,3,1,4,1,5,1,9969,dissatisfied
Economy,29,3,2,3,2,3,2,1,5155,dissatisfied
Business,19,5,4,4,2,3,3,1,8749,neutral
First,45,2,4,4,2,5,2,3,794,dissatisfied
Business,13,1,3,5,4,4,1,5,13299,neutral
Economy,73,2,5,5,5,3,2,4,12458,neutral
Economy,39,5,3,5,3,1,1,1,11030,neutral
First,9,1,5,4,3,5,2,5,13838,neutral
First,0,2,1,4,4,4,3,5,9013,dissatisfied
First,25,2,5,5,3,4,3,3,10340,neutral
Economy,15,4,1,1,1,2,1,3,2257,dissatisfied
Economy,44,1,5,5,4,3,2,4,3369,neutral
Business,29,2,1,4,2,2,3,2,9470,dissatisfied
First,23,1,2,4,5,4,4,5,2788,dissatisfied
Economy,102,4,4,2,1,2,3,4,4578,dissatisfied
First,48,1,1,1,1,3,5,4,6985,dissatisfied
First,39,2,5,3,4,3,3,1,626,dissatisfied
Business,0,2,1,1,2,2,4,2,9286,dissatisfied
Business,0,4,5,5,2,3,3,2,3705,neutral
First,123,3,4,5,1,4,5,5,9308,dissatisfied
Business,11,5,2,1,2,5,2,2,10285,dissatisfied
Economy,0,5,1,2,2,2,5,1,11856,dissatisfied
First,15,2,5,2,2,1,1,4,11736,dissatisfied
Economy,38,1,4,3,3,3,3,5,4120,dissatisfied
Economy,36,3,3,5,5,1,5,4,9638,neutral
Economy,0,4,3,4,4,2,1,4,8585,neutral
Economy,0,5,1,3,4,2,5,5,2192,neutral
Business,65,3,4,1,3,1,5,1,12827,dissatisfied
First,75,4,1,2,3,4,1,1,13211,dissatisfied
First,69,2,5,3,4,5,4,2,5353,dissatisfied
First,15,4,5,4,4,3,4,5,1320,neutral
Business,0,3,3,2,2,3,5,5,8334,dissatisfied
Business,46,4,5,4,3,2,1,4,6589,neutral
Economy,25,1,5,4,3,1,5,4,1975,neutral
Economy,38,3,1,2,5,5,3,2,12254,dissatisfied
First,23,5,3,4,1,3,3,2,608,neutral
Business,0,5,2,3,5,1,3,4,13727,neutral
Economy,36,2,5,2,2,2,4,1,5389,dissatisfied
Business,22,3,3,2,2,5,2,1,11835,dissatisfied
Business,0,1,2,2,2,2,5,5,6625,dissatisfied
Economy,14,5,2,5,5,1,2,1,8544,neutral
Economy,33,1,3,5,1,2,3,5,4842,dissatisfied
First,1,3,1,2,1,3,3,3,7584,dissatisfied
Economy,74,3,3,3,2,2,5,4,8087,dissatisfied
First,0,1,2,4,2,4,3,2,7833,dissatisfied
Economy,0,5,2,3,1,4,2,3,3818,neutral
Economy,34,2,2,5,1,4,3,4,6009,dissatisfied
First,0,5,3,4,3,3,2,2,7791,neutral
Economy,36,4,5,5,4,2,3,3,2349,neutral
Economy,49,4,2,4,5,3,3,5,6128,dissatisfied
First,0,3,3,2,5,4,2,2,4627,dissatisfied
Economy,59,2,1,2,4,5,2,5,10923,dissatisfied
First,0,4,5,2,4,4,2,1,1149,neutral
Economy,40,1,4,4,3,1,2,5,11606,dissatisfied
First,0,5,1,1,1,5,4,4,3982,dissatisfied
First,13,2,5,2,1,4,4,4,1484,dissatisfied
Business,16,2,1,3,3,2,4,4,2085,dissatisfied
First,28,2,4,2,1,5,3,2,3280,dissatisfied
Business,27,3,2,5,3,3,5,4,7617,neutral
Business,93,3,1,2,2,5,4,4,4527,dissatisfied
Economy,73,1,1,2,3,2,3,2,8122,dissatisfied
Business,0,1,5,1,2,3,5,4,9250,dissatisfied
First,34,3,3,1,2,4,1,3,8684,dissatisfied
First,0,4,5,5,2,2,5,4,5271,neutral
Economy,70,5,3,3,4,5,1,3,1975,dissatisfied
Economy,36,5,4,3,4,1,5,4,4512,neutral
Business,14,2,5,4,1,5,3,1,2233,neutral
First,77,1,1,1,2,3,3,3,11172,dissatisfied
Economy,58,4,4,5,4,4,1,2,7401,neutral
Business,11,5,5,2,2,5,4,5,1223,neutral
Economy,14,2,2,3,4,2,2,1,8417,dissatisfied
Business,48,2,4,4,4,4,4,2,1806,dissatisfied
Economy,16,1,2,4,5,2,3,1,6809,dissatisfied
Economy,0,5,5,2,5,5,5,4,10799,neutral
First,5,5,5,4,2,1,5,2,5690,neutral
Economy,32,4,5,1,4,5,4,5,12618,dissatisfied
Business,31,1,3,5,5,2,5,1,13468,dissatisfied
Economy,0,1,4,1,1,2,3,5,13379,dissatisfied
Business,7,3,4,5,2,2,3,1,3380,neutral
First,0,5,2,2,4,1,4,5,9618,dissatisfied
Economy,71,3,2,1,4,1,5,5,2719,dissatisfied
Economy,22,4,2,2,5,5,2,2,7174,dissatisfied
Economy,37,2,4,3,1,2,3,4,7314,dissatisfied
Business,0,1,2,4,2,4,2,4,7127,dissatisfied
Business,44,5,1,5,2,4,2,5,974,neutral
Business,0,3,5,4,5,5,4,4,9194,neutral
First,16,2,2,2,3,4,4,3,12353,dissatisfied
First,0,4,1,4,1,5,4,3,9303,neutral
First,31,5,2,5,1,5,1,5,10384,neutral
First,0,5,5,2,2,3,4,5,13195,neutral
Economy,116,1,1,5,3,5,1,3,9233,dissatisfied
Economy,51,1,5,3,4,5,1,3,13483,dissatisfied
Business,9,3,3,5,4,1,1,3,1834,neutral
Business,64,3,5,4,3,3,1,2,9045,neutral
First,43,4,4,1,5,2,2,1,12636,dissatisfied
First,0,2,5,2,4,4,4,2,9949,dissatisfied
First,6,4,3,3,2,5,2,3,6110,neutral
Economy,0,5,2,1,5,5,3,1,9811,dissatisfied
First,11,3,4,1,1,2,1,4,3474,dissatisfied
Business,1,4,3,1,5,5,1,3,3180,dissatisfied
First,5,4,5,2,5,1,2,3,6828,neutral
First,0,1,3,2,2,4,4,4,6129,dissatisfied
Business,28,4,2,1,5,5,1,1,3560,dissatisfied
First,0,2,4,5,1,3,3,3,5123,neutral
First,0,4,1,5,2,3,4,1,1563,neutral
Business,33,2,3,1,5,2,2,2,4519,dissatisfied
Business,28,2,3,5,4,3,4,5,3253,neutral
First,0,5,5,1,2,2,1,2,8792,neutral
Business,18,4,4,2,4,5,4,5,1562,neutral
Economy,42,3,1,5,2,3,1,3,7419,dissatisfied
Business,0,5,3,3,4,1,4,2,7979,neutral
First,14,1,1,2,1,2,4,2,8819,dissatisfied
Business,0,4,1,1,2,3,2,4,1086,dissatisfied
Economy,103,5,2,3,2,4,2,5,12475,dissatisfied
Business,62,1,5,3,4,1,5,5,4528,dissatisfied
First,0,5,1,2,2,1,4,3,11021,dissatisfied
Economy,40,5,5,3,4,2,2,4,7494,neutral
Economy,9,5,2,5,5,3,2,4,2255,neutral
Economy,18,2,1,3,2,4,3,5,2295,dissatisfied
First,57,4,5,3,3,3,3,4,8382,neutral
Business,54,1,4,4,2,3,1,1,1365,dissatisfied
Economy,3,4,5,3,3,3,1,3,702,neutral
Business,0,5,4,3,3,2,4,2,1461,neutral
Business,54,2,2,5,5,2,2,5,11646,dissatisfied
Business,0,3,2,3,3,2,3,4,3044,dissatisfied
First,83,5,4,3,4,3,5,4,3535,dissatisfied
First,89,3,3,2,4,3,1,4,563,dissatisfied
First,28,2,1,4,2,4,5,3,1401,dissatisfied
Business,0,2,1,3,1,1,5,2,13144,dissatisfied
Business,0,3,4,1,5,1,5,4,4294,dissatisfied
First,3,2,1,4,5,3,5,2,3991,dissatisfied
First,0,3,2,5,5,1,1,2,12143,neutral
First,13,2,3,3,5,3,5,3,936,dissatisfied
Business,44,3,4,2,5,5,5,4,13843,dissatisfied
Economy,19,3,2,2,1,1,1,4,13024,dissatisfied
Business,30,4,2,5,2,2,1,2,11030,neutral
First,2,2,4,5,2,2,1,4,13582,neutral
Economy,0,4,4,1,5,2,5,3,4132,dissatisfied
Business,62,4,5,5,1,5,4,4,10698,neutral
Business,0,3,2,5,1,2,3,4,8573,neutral
First,0,5,1,4,1,5,3,4,3117,neutral
Economy,28,3,3,3,3,3,5,3,729,dissatisfied
Business,0,2,5,1,4,4,5,2,5562,dissatisfied
Business,29,3,2,1,1,5,2,2,6576,dissatisfied
Economy,33,1,4,1,3,2,5,4,10417,dissatisfied
Business,39,2,3,3,5,2,2,3,5434,dissatisfied
First,5,5,3,5,3,5,3,4,5086,neutral
First,15,1,2,5,4,1,3,3,6401,dissatisfied
Economy,0,3,1,4,1,2,4,3,3845,dissatisfied
Business,46,3,3,4,4,1,4,2,4504,dissatisfied
Economy,4,5,2,1,2,1,3,1,13192,dissatisfied
First,0,3,3,3,4,4,3,1,3415,neutral
Business,5,5,1,5,1,4,3,5,13276,neutral
Economy,23,1,5,3,5,4,1,5,1796,dissatisfied
Economy,1,5,2,5,4,3,1,1,2625,neutral
First,0,5,2,3,2,5,4,2,12441,neutral
Economy,35,2,5,3,3,1,1,5,1574,dissatisfied
First,42,4,4,1,2,2,3,1,13741,dissatisfied
Business,0,2,2,4,3,3,2,2,13562,dissatisfied
First,62,4,4,2,2,4,5,5,7727,dissatisfied
Business,0,1,2,3,1,5,1,5,6565,dissatisfied
First,22,1,3,2,3,3,1,1,959,dissatisfied
Business,34,3,1,1,1,2,3,5,13680,dissatisfied
Business,47,2,3,3,4,3,3,2,7393,dissatisfied
Economy,0,3,2,1,3,1,3,1,1492,dissatisfied
Business,22,3,4,2,4,4,3,2,9717,dissatisfied
First,0,4,4,5,5,3,5,5,6020,neutral
First,3,2,5,3,2,1,5,2,4960,neutral
Economy,30,2,5,1,2,3,1,4,7056,dissatisfied
Economy,0,3,5,2,2,2,5,3,12269,neutral
Economy,39,3,1,3,5,4,1,5,6920,dissatisfied
Economy,4,3,5,2,5,4,4,4,13043,neutral
Business,17,4,4,5,1,3,2,3,12926,neutral
Economy,16,4,3,3,3,5,3,1,13395,neutral
Economy,0,5,2,1,3,2,2,3,11205,dissatisfied
Business,26,1,5,1,3,2,5,1,10387,dissatisfied
First,110,2,1,1,4,2,1,4,4258,dissatisfied
First,70,2,3,1,5,5,5,3,10794,dissatisfied
First,0,1,4,3,5,5,1,5,10838,dissatisfied
Economy,0,3,1,5,5,2,1,4,1767,neutral
Business,0,2,2,5,2,4,3,3,1322,neutral
First,0,2,5,1,4,1,1,2,2020,dissatisfied
Business,0,3,2,1,5,3,3,2,9879,dissatisfied
Economy,1,2,2,1,5,3,3,1,6142,dissatisfied
First,0,4,4,1,3,5,5,4,2321,dissatisfied
Economy,0,1,3,3,3,2,4,2,12644,dissatisfied
Economy,8,4,5,5,5,2,2,3,13307,neutral
Economy,55,4,4,4,2,4,3,5,6650,neutral
Economy,75,2,3,4,5,3,3,1,11966,dissatisfied
First,36,4,3,5,3,2,5,3,13245,neutral
Business,14,5,1,1,4,3,3,1,3270,dissatisfied
First,0,4,4,4,2,3,2,2,10905,neutral
First,42,2,4,3,1,2,5,4,5115,dissatisfied
First,0,3,3,1,4,3,2,5,12352,dissatisfied
Business,0,3,5,5,4,3,1,2,9104,neutral
Economy,0,2,1,5,2,4,5,4,9157,neutral
Economy,37,4,5,2,2,5,2,5,543,neutral
Economy,40,1,2,3,5,5,4,4,4516,dissatisfied
First,0,4,3,3,1,4,2,2,3616,neutral
First,13,4,2,2,2,2,5,5,4696,dissatisfied
First,54,1,5,2,2,3,4,3,3114,dissatisfied
Business,0,4,1,2,4,2,4,2,11427,dissatisfied
First,0,4,3,3,5,1,5,1,12442,neutral
First,59,5,3,2,5,3,2,5,5328,dissatisfied
Business,20,5,1,3,3,1,3,4,9553,dissatisfied
First,45,2,4,2,1,4,3,2,11825,dissatisfied
First,22,4,5,4,3,1,2,4,4748,neutral
Economy,56,3,3,5,5,5,5,3,6705,neutral
Economy,30,3,3,3,4,3,4,4,6890,dissatisfied
Business,0,2,2,1,4,3,1,2,2849,dissatisfied
Business,22,5,2,1,1,4,4,5,9185,dissatisfied
Economy,59,2,1,2,5,3,1,2,5047,dissatisfied
Business,7,2,1,2,4,4,2,1,1941,dissatisfied
Economy,55,3,4,3,2,3,1,1,7865,dissatisfied
Business,10,5,3,4,1,1,5,4,9900,neutral
Economy,3,5,5,1,2,3,5,4,11267,neutral
First,47,4,4,3,5,4,4,2,9638,neutral
Business,0,2,5,1,5,1,5,4,10547,dissatisfied
First,68,4,5,5,2,4,3,4,5425,neutral
First,58,1,3,2,3,5,4,4,11518,dissatisfied
Economy,0,3,1,3,1,1,4,5,3584,dissatisfied
Business,52,1,1,2,2,5,3,1,1465,dissatisfied
Business,51,1,1,3,2,4,3,5,13930,dissatisfied
First,15,1,5,2,3,5,2,2,7105,dissatisfied
Business,24,5,4,2,4,3,2,3,13092,neutral
First,0,4,1,3,1,1,2,1,1171,dissatisfied
Economy,59,4,3,5,3,1,1,2,1199,neutral
First,0,2,2,1,2,5,4,4,7132,dissatisfied
Economy,0,2,2,3,4,5,5,3,12560,dissatisfied
First,0,2,4,5,5,1,4,3,12249,neutral
Economy,0,1,2,4,4,4,3,3,12428,dissatisfied
First,27,3,2,2,5,5,5,5,8809,dissatisfied
Business,70,3,2,2,3,5,1,2,13541,dissatisfied
Business,30,3,2,1,5,4,5,5,2943,dissatisfied
First,47,4,2,1,5,4,5,5,10378,dissatisfied
Economy,98,5,1,2,2,1,5,1,3743,dissatisfied
Business,10,3,5,2,5,5,4,5,10577,neutral
Economy,0,3,3,3,5,1,4,4,5454,neutral
First,0,5,3,1,1,2,2,3,7592,dissatisfied
Economy,30,2,3,3,2,1,5,2,2251,dissatisfied
Business,0,4,2,3,3,1,4,5,1808,neutral
Economy,48,4,4,2,3,4,1,2,10307,dissatisfied
First,0,5,5,1,3,1,4,1,2231,neutral
Economy,0,1,3,5,3,3,3,3,4326,neutral
Business,0,4,3,1,4,1,5,1,12618,dissatisfied
Economy,100,1,1,3,1,4,2,5,8418,dissatisfied
Economy,12,2,3,3,2,2,5,2,3591,dissatisfied
Economy,8,4,5,2,2,4,3,1,5044,neutral
Economy,49,4,4,4,4,4,3,3,5359,neutral
First,42,2,1,1,2,3,4,5,2443,dissatisfied
Business,71,3,5,5,3,2,3,5,4459,neutral
Economy,87,3,3,1,4,3,5,3,3583,dissatisfied
Economy,62,2,1,1,3,2,1,1,1812,dissatisfied
Business,37,5,4,3,4,3,2,2,4292,neutral
First,4,1,5,2,3,1,1,3,5941,dissatisfied
Business,53,5,4,5,5,2,1,1,9378,neutral
Economy,65,5,4,5,2,1,3,4,1014,neutral
First,7,4,2,1,1,3,4,1,8376,dissatisfied
First,12,1,5,1,3,5,1,1,3146,dissatisfied
Business,62,5,3,5,2,1,3,4,10914,neutral
Business,0,3,1,5,2,5,1,3,3690,neutral
Economy,41,5,5,4,4,5,1,3,13228,neutral
Economy,0,3,5,4,2,4,5,1,12332,neutral
First,0,3,1,5,5,2,5,4,2684,neutral
First,0,1,5,2,4,3,5,2,2601,dissatisfied
First,0,4,5,4,2,5,1,1,2760,neutral
Business,10,3,1,3,3,1,4,2,2753,dissatisfied
Business,47,2,5,3,4,1,2,5,4003,dissatisfied
Economy,0,4,1,3,1,4,3,3,9224,dissatisfied
First,24,2,1,1,1,4,4,1,4033,dissatisfied
First,0,3,3,4,2,3,2,1,6811,neutral
Economy,0,3,5,1,5,3,4,4,10914,dissatisfied
First,0,1,3,2,5,1,2,4,9141,dissatisfied
Business,28,2,3,5,5,5,5,5,2826,neutral
First,52,5,3,5,1,1,3,4,3927,neutral
Business,34,5,2,2,2,5,4,2,3223,dissatisfied
Business,0,4,4,4,1,1,4,4,2878,neutral
Economy,74,4,5,2,2,3,2,4,11008,dissatisfied
Business,45,3,3,5,1,5,3,1,8202,neutral
Business,57,2,2,5,3,3,1,4,7231,dissatisfied
First,55,1,2,2,4,3,2,1,9958,dissatisfied
Business,43,1,5,1,4,1,2,2,11769,dissatisfied
Business,9,4,5,2,1,1,4,5,5249,neutral
Economy,0,5,4,1,2,4,2,5,7753,neutral
Economy,37,3,4,4,2,3,5,1,5679,neutral
First,0,3,2,5,5,4,3,5,5161,neutral
First,27,5,1,3,5,2,2,4,7192,dissatisfied
Economy,21,2,3,3,1,3,2,3,8146,dissatisfied
First,1,5,5,5,2,4,5,3,6713,neutral
First,27,4,5,2,3,2,2,3,12727,neutral
Business,34,5,4,5,4,3,5,3,6299,neutral
First,12,3,3,2,2,3,2,4,1045,dissatisfied
First,0,1,5,2,5,2,4,2,8776,dissatisfied
Economy,16,2,4,5,1,1,2,2,7952,neutral
Business,0,4,1,3,2,2,4,5,4245,dissatisfied
First,0,1,3,5,2,5,5,4,1741,neutral
Economy,84,5,3,2,1,3,2,5,4636,dissatisfied
First,0,1,4,4,3,5,3,5,6585,neutral
Economy,65,2,4,3,4,2,2,2,11790,dissatisfied
Business,20,2,2,2,3,1,4,3,4313,dissatisfied
First,14,2,5,3,3,5,2,1,9920,neutral
Economy,40,3,1,1,5,4,2,4,1584,dissatisfied
Business,82,2,4,5,4,4,4,3,3147,dissatisfied
First,20,4,2,5,3,3,1,5,11781,neutral
Economy,2,5,5,3,2,3,2,1,6719,neutral
First,40,4,3,1,2,1,3,3,5684,dissatisfied
Business,56,5,3,4,5,1,2,2,3161,neutral
Business,38,3,2,4,4,4,5,4,8592,dissatisfied
First,50,3,1,4,1,1,1,2,7745,dissatisfied
Economy,57,4,5,3,2,4,3,5,4284,neutral
Business,58,2,2,2,1,5,5,5,3544,dissatisfied
Business,18,3,3,5,5,4,3,3,8599,neutral
Economy,68,5,4,1,2,1,1,5,8926,dissatisfied
Economy,9,5,3,1,2,1,1,1,5422,dissatisfied
First,67,4,1,4,3,4,3,1,665,dissatisfied
Business,76,4,3,4,5,2,3,5,13631,dissatisfied
Economy,50,2,1,1,5,2,4,3,9849,dissatisfied
Business,57,2,3,5,3,1,5,1,2686,dissatisfied
Economy,55,4,3,1,5,4,3,4,9288,dissatisfied
Business,23,1,1,4,3,2,5,3,5638,dissatisfied
First,40,1,1,4,3,3,1,3,1174,dissatisfied
Economy,77,5,1,3,3,5,1,1,505,dissatisfied
Business,0,2,3,4,4,5,3,5,2121,neutral
First,65,1,1,3,2,4,5,2,11626,dissatisfied
First,0,2,5,5,2,2,1,4,4717,neutral
Business,0,5,4,4,2,4,4,2,5322,neutral
First,25,3,2,4,4,1,5,3,4367,dissatisfied
First,17,4,3,1,2,1,5,1,7878,dissatisfied
Business,56,2,1,4,3,3,5,5,8612,dissatisfied
Economy,0,5,1,5,1,1,5,3,9504,neutral
Economy,40,1,5,2,1,4,5,4,8392,dissatisfied
Economy,0,5,3,1,2,5,4,3,8204,dissatisfied
First,52,2,2,5,5,5,1,4,8440,dissatisfied
First,0,5,3,3,2,2,5,5,6171,neutral
First,33,4,4,1,4,1,5,4,7623,dissatisfied
Business,68,5,3,4,5,2,5,4,4774,neutral
Economy,0,5,2,1,1,1,1,1,12255,dissatisfied
Economy,19,4,4,3,3,5,3,5,1354,neutral
Business,15,5,4,2,2,5,1,3,6390,neutral
Economy,7,2,2,4,2,3,5,3,9178,dissatisfied
Business,16,1,5,5,2,5,1,5,9819,neutral
Business,0,1,1,2,5,1,2,2,9407,dissatisfied
Economy,37,1,5,3,4,5,3,5,12951,dissatisfied
Economy,10,4,4,2,3,5,4,5,10758,neutral
Economy,15,4,2,5,3,5,2,4,9589,neutral
First,51,4,5,5,2,4,5,4,12368,neutral
First,0,2,5,1,3,2,4,4,1089,dissatisfied
Economy,22,3,1,2,3,4,4,3,12166,dissatisfied
Economy,0,2,5,1,2,3,3,1,1978,dissatisfied
First,91,1,3,4,2,1,1,2,6476,dissatisfied
Business,65,1,2,3,4,4,1,4,2021,dissatisfied
Economy,8,3,5,4,2,1,1,2,11608,neutral
Economy,86,4,1,5,2,3,1,2,4218,dissatisfied
Economy,34,1,4,5,4,2,2,1,12170,neutral
Economy,0,2,3,5,4,1,5,1,1672,neutral
Business,0,5,3,5,3,2,4,3,7371,neutral
Economy,38,3,1,2,2,3,5,5,11299,dissatisfied
Economy,1,5,4,2,5,2,5,1,13943,neutral
First,2,3,5,5,2,3,3,4,10466,neutral
First,34,3,3,4,3,5,3,5,3839,neutral
Business,53,2,2,3,1,3,3,2,2891,dissatisfied
First,0,1,3,3,4,3,3,3,5786,dissatisfied
Economy,88,4,3,4,2,2,1,5,5278,dissatisfied
First,14,1,3,4,5,1,4,1,2420,dissatisfied
Economy,18,5,3,4,5,5,1,2,975,neutral
Economy,16,1,4,3,2,4,5,5,3061,dissatisfied
Economy,0,5,1,3,1,4,1,1,10148,neutral
Economy,0,4,3,5,4,1,4,2,10908,neutral
Business,0,4,5,5,2,1,4,1,928,neutral
Economy,0,3,1,4,3,5,5,2,11162,dissatisfied
Economy,0,1,3,2,4,3,2,4,11686,dissatisfied
First,5,2,3,2,5,1,5,4,9424,dissatisfied
Business,0,2,2,1,1,5,5,3,2187,dissatisfied
Business,1,4,4,3,3,1,1,2,8842,neutral
Business,23,4,1,2,2,3,3,3,663,dissatisfied
Business,0,5,3,1,4,1,2,1,13679,dissatisfied
Economy,18,1,1,3,2,5,3,3,4987,dissatisfied
First,76,5,4,4,5,3,5,5,11174,neutral
Economy,0,3,1,4,1,3,2,1,2848,dissatisfied
First,9,1,2,5,3,1,1,3,10228,neutral
Business,32,4,1,1,5,2,5,5,8997,dissatisfied
Economy,53,4,1,1,2,2,5,1,2212,dissatisfied
First,3,1,2,1,3,2,4,2,1670,dissatisfied
Economy,0,3,4,1,2,1,1,3,9638,dissatisfied
Business,44,5,5,5,2,1,1,1,7753,neutral
Business,46,3,4,5,1,1,5,3,12632,neutral
Business,0,2,3,4,1,4,2,2,8875,neutral
First,29,1,3,4,1,4,2,2,10065,dissatisfied
First,62,4,2,2,1,5,3,1,3757,dissatisfied
Economy,75,2,1,1,1,5,4,4,6623,dissatisfied
First,61,3,2,1,4,3,4,2,10228,dissatisfied
Business,33,3,1,1,1,5,3,1,11637,dissatisfied
Business,6,4,3,5,1,5,3,4,9542,neutral
First,10,2,3,1,3,4,3,2,1461,dissatisfied
First,15,3,1,1,3,2,1,5,8913,dissatisfied
Economy,22,5,5,4,3,5,3,4,2682,neutral
First,47,5,5,2,4,5,1,5,5814,neutral
First,10,5,3,5,1,5,1,3,5179,neutral
First,10,2,4,5,4,5,5,3,8751,neutral
Business,47,4,2,3,4,4,4,5,4262,dissatisfied
Economy,0,1,2,1,2,2,2,4,2559,dissatisfied
Economy,35,5,4,1,4,4,1,1,4823,dissatisfied
Economy,21,4,2,1,2,4,4,4,8899,dissatisfied
Business,16,3,1,2,5,2,4,4,11511,dissatisfied
Business,0,1,1,1,3,1,4,5,8372,dissatisfied
Business,6,3,5,5,2,5,3,5,7764,neutral
Economy,36,2,1,4,5,5,1,4,9336,dissatisfied
Business,20,2,4,4,4,4,3,2,11791,neutral
Business,50,2,2,3,2,3,3,4,2793,dissatisfied
Economy,47,4,1,2,4,5,5,5,1114,dissatisfied
Business,0,3,2,2,2,1,3,4,13401,dissatisfied
Business,0,2,1,1,3,4,4,5,5118,dissatisfied
Business,24,2,5,3,4,2,2,2,13313,neutral
First,8,2,5,4,1,1,3,5,6730,neutral
Business,12,3,1,1,1,3,4,5,2192,dissatisfied
Business,19,2,2,2,2,3,3,5,11949,dissatisfied
Economy,0,1,3,1,3,3,3,2,568,dissatisfied
Business,26,3,2,4,4,2,3,5,2290,dissatisfied
Economy,30,2,5,3,4,1,3,5,1362,dissatisfied
First,1,3,5,5,2,3,2,5,3082,neutral
Economy,29,5,5,1,3,3,2,3,11630,neutral
First,0,1,2,2,5,4,5,2,2675,dissatisfied
Economy,8,3,3,3,4,2,3,3,4660,neutral
Economy,8,1,5,1,5,3,4,1,2658,dissatisfied
Economy,68,4,3,2,4,2,1,3,3311,dissatisfied
Economy,28,2,1,2,2,3,5,2,9537,dissatisfied
First,58,4,2,3,3,5,4,1,3747,dissatisfied
Economy,20,4,5,2,1,5,5,2,7154,neutral
First,0,4,1,2,2,1,1,2,11572,dissatisfied
First,14,3,4,4,1,1,1,4,7016,neutral
Business,0,1,3,5,5,2,1,5,10251,neutral
First,13,2,5,3,5,2,4,2,11886,neutral
Business,66,3,3,4,2,4,5,5,8392,dissatisfied
First,42,2,1,5,5,2,1,3,11311,dissatisfied
Economy,42,1,5,1,4,1,4,3,943,dissatisfied
First,47,4,2,4,3,4,3,4,1596,dissatisfied
Economy,16,5,1,5,2,3,3,4,4497,neutral
Business,19,2,4,2,5,1,4,5,1500,dissatisfied
Business,16,3,5,3,5,3,3,5,10765,neutral
First,47,4,5,4,5,1,3,3,6439,neutral
Business,13,2,1,1,5,5,1,3,1374,dissatisfied
Business,0,3,3,4,1,5,5,4,9907,neutral
Economy,1,2,4,2,4,4,4,2,13097,dissatisfied
Economy,102,5,4,3,4,2,1,2,6936,dissatisfied
Economy,54,3,5,4,5,4,2,1,567,neutral
First,0,3,2,4,1,2,5,4,2835,neutral
Business,0,3,5,2,5,4,2,5,3305,neutral
Economy,38,1,2,3,3,3,1,4,11774,dissatisfied
Economy,45,2,2,2,4,4,5,2,5358,dissatisfied
