preferred_class,budget_usd,preferred_airline,avg_rating_given,trips_per_year,loyalty_tier,prefers_direct,recommended_airline
First,1955,AsiaJet,1.5,22,Platinum,0,PacificAir
Economy,4889,PacificAir,4.8,8,Silver,0,SkyMind
Economy,184,AsiaJet,3.7,14,Silver,0,AsiaJet
Business,586,PacificAir,1.8,10,Bronze,0,EuroWings
Economy,2652,AeroGulf,2.7,14,Bronze,0,AeroGulf
Economy,4272,AeroGulf,2.2,28,Bronze,1,SkyMind
Business,1482,AeroGulf,3.9,29,Silver,0,PacificAir
Economy,334,EuroWings,5.0,4,Platinum,1,AsiaJet
First,4000,PacificAir,4.5,10,Bronze,0,SkyMind
Economy,1429,AsiaJet,4.4,5,Silver,0,PacificAir
First,951,SkyMind,2.6,6,Silver,1,EuroWings
First,3329,AeroGulf,2.7,29,Silver,0,SkyMind
Economy,2700,EuroWings,1.8,24,Bronze,0,AeroGulf
First,4073,AeroGulf,2.5,11,Silver,0,SkyMind
Economy,3011,AeroGulf,3.5,28,Silver,0,SkyMind
Economy,4888,EuroWings,4.4,4,Platinum,1,SkyMind
Business,1989,PacificAir,1.2,13,Platinum,1,PacificAir
First,3485,EuroWings,4.8,29,Bronze,1,SkyMind
Economy,1115,AeroGulf,2.0,15,Platinum,0,PacificAir
Economy,1892,EuroWings,1.8,17,Silver,1,PacificAir
First,2731,AsiaJet,2.6,27,Silver,1,AeroGulf
Economy,4689,AeroGulf,3.5,12,Platinum,1,SkyMind
First,4763,AsiaJet,3.3,24,Silver,1,SkyMind
Business,3821,AsiaJet,2.0,20,Platinum,1,SkyMind
Business,905,SkyMind,4.8,5,Silver,1,EuroWings
Business,2877,SkyMind,3.4,15,Bronze,1,AeroGulf
First,1198,AeroGulf,4.3,4,Gold,1,PacificAir
First,3057,EuroWings,4.7,14,Gold,1,SkyMind
First,824,AeroGulf,2.6,26,Gold,1,EuroWings
Economy,3770,AsiaJet,1.9,24,Platinum,1,SkyMind
Economy,4037,AeroGulf,3.6,13,Silver,0,SkyMind
Economy,2719,PacificAir,2.3,12,Silver,1,AeroGulf
Economy,4213,EuroWings,2.5,6,Bronze,0,SkyMind
Economy,2477,EuroWings,1.6,2,Gold,0,AeroGulf
First,3123,EuroWings,4.3,5,Bronze,1,SkyMind
Business,2564,AsiaJet,4.1,6,Bronze,1,AeroGulf
Business,3734,AsiaJet,3.6,7,Gold,1,SkyMind
Economy,562,PacificAir,2.5,17,Platinum,1,EuroWings
Business,3135,AsiaJet,4.9,20,Silver,0,SkyMind
Economy,3177,AeroGulf,2.4,19,Platinum,1,SkyMind
Business,3966,SkyMind,3.5,15,Gold,0,SkyMind
Business,1776,SkyMind,1.6,2,Gold,1,PacificAir
Business,4147,PacificAir,1.6,5,Bronze,0,SkyMind
Economy,489,EuroWings,4.8,12,Platinum,0,AsiaJet
First,534,PacificAir,3.9,22,Silver,0,EuroWings
Business,3595,PacificAir,1.1,28,Gold,0,SkyMind
First,2126,PacificAir,3.6,4,Platinum,0,AeroGulf
First,300,SkyMind,1.2,9,Platinum,1,AsiaJet
Economy,677,PacificAir,4.0,15,Silver,1,EuroWings
Economy,1058,EuroWings,1.2,14,Bronze,1,PacificAir
First,3877,AsiaJet,2.5,20,Silver,1,SkyMind
Economy,776,AsiaJet,2.5,3,Silver,1,EuroWings
Business,1822,SkyMind,3.4,11,Gold,0,PacificAir
Economy,1402,EuroWings,1.8,17,Bronze,1,PacificAir
Economy,4264,AsiaJet,3.8,24,Platinum,1,SkyMind
Business,4270,SkyMind,3.1,17,Bronze,1,SkyMind
Economy,288,PacificAir,2.3,26,Silver,1,AsiaJet
First,3174,AsiaJet,4.1,28,Platinum,0,SkyMind
First,2053,AsiaJet,3.4,20,Platinum,1,AeroGulf
First,4356,AsiaJet,4.6,29,Silver,1,SkyMind
Business,982,PacificAir,3.1,8,Silver,0,EuroWings
First,2841,SkyMind,2.3,6,Gold,0,AeroGulf
Business,318,AsiaJet,1.0,26,Gold,1,AsiaJet
First,3533,PacificAir,3.3,9,Gold,0,SkyMind
Economy,3970,PacificAir,4.6,16,Gold,0,SkyMind
Economy,175,SkyMind,1.5,14,Gold,0,AsiaJet
Economy,1934,SkyMind,4.9,29,Bronze,0,PacificAir
Business,2895,SkyMind,3.6,23,Platinum,0,AeroGulf
First,661,SkyMind,2.0,9,Platinum,0,EuroWings
First,2416,PacificAir,4.8,11,Gold,1,AeroGulf
Economy,2908,AeroGulf,5.0,22,Bronze,1,AeroGulf
Business,4364,AsiaJet,1.1,3,Silver,1,SkyMind
First,1571,PacificAir,4.8,1,Bronze,0,PacificAir
Business,4788,EuroWings,2.1,11,Platinum,1,SkyMind
First,4875,AeroGulf,3.9,27,Gold,1,SkyMind
First,3630,EuroWings,2.1,13,Silver,0,SkyMind
Business,2991,AsiaJet,2.8,7,Gold,1,AeroGulf
Economy,558,EuroWings,2.1,17,Gold,1,EuroWings
First,3808,PacificAir,3.9,8,Silver,0,SkyMind
Business,1986,AsiaJet,4.2,7,Gold,0,PacificAir
Economy,4290,PacificAir,3.9,29,Platinum,0,SkyMind
Business,2823,EuroWings,4.8,14,Gold,0,AeroGulf
Business,2392,SkyMind,1.6,26,Gold,0,AeroGulf
Business,336,EuroWings,3.3,19,Bronze,0,AsiaJet
Business,2483,EuroWings,4.8,17,Bronze,0,AeroGulf
First,1259,SkyMind,2.9,29,Platinum,0,PacificAir
Economy,3901,SkyMind,4.6,22,Bronze,1,SkyMind
Business,1090,SkyMind,1.0,11,Gold,0,PacificAir
First,2103,EuroWings,4.8,10,Bronze,0,AeroGulf
First,3395,AeroGulf,1.2,7,Gold,0,SkyMind
Economy,2883,AsiaJet,1.2,20,Gold,1,AeroGulf
Business,4975,PacificAir,2.4,15,Platinum,1,SkyMind
Business,2144,AsiaJet,4.3,2,Gold,1,AeroGulf
Economy,2760,EuroWings,1.3,16,Bronze,0,AeroGulf
Economy,353,PacificAir,4.7,23,Platinum,1,AsiaJet
First,2726,EuroWings,1.9,18,Gold,1,AeroGulf
First,1907,AeroGulf,1.2,27,Gold,1,PacificAir
Economy,2132,PacificAir,3.3,4,Platinum,1,AeroGulf
Economy,3096,EuroWings,4.3,27,Platinum,1,SkyMind
First,4260,PacificAir,4.9,17,Silver,1,SkyMind
Business,1245,AsiaJet,1.9,3,Gold,0,PacificAir
Economy,2766,AsiaJet,4.4,1,Platinum,1,AeroGulf
Economy,971,AeroGulf,1.6,21,Gold,0,EuroWings
Business,2141,AeroGulf,4.0,7,Gold,1,AeroGulf
Business,4545,AeroGulf,1.1,8,Bronze,1,SkyMind
Business,1760,AeroGulf,2.6,27,Bronze,0,PacificAir
Business,3424,AeroGulf,4.2,2,Gold,1,SkyMind
Economy,3528,AeroGulf,1.5,3,Gold,1,SkyMind
First,4168,AsiaJet,3.4,28,Platinum,0,SkyMind
Business,721,AeroGulf,4.3,26,Bronze,0,EuroWings
First,4946,SkyMind,1.8,19,Silver,0,SkyMind
Business,1000,EuroWings,4.2,16,Platinum,0,EuroWings
Business,417,AsiaJet,2.2,26,Platinum,0,AsiaJet
Economy,4557,EuroWings,2.6,6,Bronze,0,SkyMind
First,2443,AsiaJet,4.0,25,Bronze,1,AeroGulf
First,2712,AsiaJet,4.3,1,Silver,1,AeroGulf
Economy,336,EuroWings,2.2,12,Platinum,1,AsiaJet
Economy,1127,AeroGulf,1.9,24,Silver,1,PacificAir
Business,2540,AsiaJet,3.2,19,Platinum,1,AeroGulf
First,1706,PacificAir,3.3,14,Bronze,0,PacificAir
Business,1165,AeroGulf,1.4,26,Platinum,1,PacificAir
Economy,4695,EuroWings,3.3,17,Bronze,0,SkyMind
Business,2792,EuroWings,3.5,4,Silver,0,AeroGulf
Business,3458,AsiaJet,1.4,20,Platinum,0,SkyMind
First,1349,AsiaJet,4.3,8,Gold,0,PacificAir
Economy,396,PacificAir,3.0,10,Platinum,0,AsiaJet
First,3040,SkyMind,3.4,6,Bronze,0,SkyMind
Economy,2615,PacificAir,3.1,25,Silver,0,AeroGulf
First,2688,PacificAir,2.9,4,Bronze,0,AeroGulf
Economy,1919,AeroGulf,2.2,29,Bronze,0,PacificAir
Business,393,PacificAir,2.5,15,Platinum,1,AsiaJet
Business,2303,SkyMind,3.8,26,Bronze,0,AeroGulf
Economy,4782,AsiaJet,3.5,3,Gold,1,SkyMind
First,2924,EuroWings,3.4,5,Gold,1,AeroGulf
Business,3771,EuroWings,4.2,10,Gold,1,SkyMind
Economy,329,SkyMind,3.1,12,Gold,0,AsiaJet
Business,240,AsiaJet,2.2,12,Gold,0,AsiaJet
Business,249,AeroGulf,3.4,3,Bronze,1,AsiaJet
Business,4535,AsiaJet,4.1,16,Platinum,1,SkyMind
Economy,3503,AeroGulf,4.5,9,Gold,0,SkyMind
Business,1480,AeroGulf,3.0,14,Platinum,1,PacificAir
Business,2312,AeroGulf,2.4,14,Silver,0,AeroGulf
First,599,AsiaJet,4.4,8,Gold,0,EuroWings
Economy,4811,AeroGulf,2.7,19,Platinum,0,SkyMind
First,1390,AsiaJet,4.9,17,Platinum,0,PacificAir
First,817,PacificAir,2.7,5,Gold,1,EuroWings
First,352,EuroWings,4.9,22,Platinum,0,AsiaJet
Economy,826,AsiaJet,1.4,16,Bronze,1,EuroWings
Economy,4930,EuroWings,2.4,21,Platinum,1,SkyMind
First,2104,AsiaJet,2.1,7,Bronze,1,AeroGulf
Economy,4703,AeroGulf,5.0,12,Gold,1,SkyMind
First,202,EuroWings,4.4,27,Gold,1,AsiaJet
First,351,AeroGulf,4.0,23,Silver,1,AsiaJet
First,4148,PacificAir,4.7,2,Bronze,0,SkyMind
Economy,2005,EuroWings,4.7,8,Gold,0,AeroGulf
First,1388,PacificAir,1.8,14,Bronze,1,PacificAir
Business,1107,AeroGulf,2.4,18,Gold,1,PacificAir
First,4491,SkyMind,1.2,10,Silver,1,SkyMind
Business,4905,PacificAir,2.2,16,Platinum,1,SkyMind
Business,2387,PacificAir,3.9,10,Silver,0,AeroGulf
Economy,720,PacificAir,3.9,14,Bronze,1,EuroWings
First,1992,PacificAir,2.8,20,Silver,0,PacificAir
First,3712,AeroGulf,1.7,23,Gold,0,SkyMind
Economy,1630,SkyMind,1.2,6,Platinum,0,PacificAir
First,3586,AsiaJet,2.0,10,Bronze,0,SkyMind
First,3085,AsiaJet,1.3,12,Silver,1,SkyMind
First,2330,AsiaJet,5.0,18,Platinum,1,AeroGulf
Business,869,AeroGulf,1.6,4,Silver,0,EuroWings
Economy,811,AeroGulf,4.2,3,Gold,0,EuroWings
Economy,2473,SkyMind,2.5,29,Gold,1,AeroGulf
First,2402,AsiaJet,3.5,12,Silver,1,AeroGulf
First,1351,AsiaJet,3.2,6,Platinum,0,PacificAir
First,4602,AsiaJet,1.2,6,Platinum,1,SkyMind
Economy,4548,EuroWings,4.6,24,Bronze,0,SkyMind
Economy,563,AsiaJet,4.6,24,Gold,1,EuroWings
Economy,2299,EuroWings,2.2,28,Bronze,1,AeroGulf
First,3354,EuroWings,1.5,5,Bronze,0,SkyMind
Economy,2964,AeroGulf,1.4,20,Silver,0,AeroGulf
Business,4115,SkyMind,4.4,19,Gold,1,SkyMind
First,2775,AsiaJet,3.3,9,Gold,1,AeroGulf
Economy,2831,EuroWings,2.5,5,Platinum,0,AeroGulf
Economy,4929,AeroGulf,2.4,4,Bronze,0,SkyMind
First,3870,AsiaJet,3.2,27,Platinum,0,SkyMind
First,4985,EuroWings,2.1,2,Silver,0,SkyMind
Business,3010,PacificAir,1.1,6,Silver,1,SkyMind
Business,2154,SkyMind,2.7,15,Platinum,1,AeroGulf
First,3530,PacificAir,4.5,15,Platinum,1,SkyMind
First,649,AeroGulf,4.2,21,Gold,0,EuroWings
Business,3263,PacificAir,4.6,2,Silver,1,SkyMind
Economy,3828,SkyMind,3.7,16,Bronze,0,SkyMind
Business,3057,AsiaJet,1.2,27,Bronze,1,SkyMind
First,3818,PacificAir,2.9,5,Silver,1,SkyMind
First,3157,EuroWings,1.1,14,Gold,1,SkyMind
First,2468,AsiaJet,4.9,24,Silver,0,AeroGulf
First,4436,AeroGulf,3.7,4,Platinum,1,SkyMind
First,535,AsiaJet,1.1,15,Silver,0,EuroWings
Business,4336,AeroGulf,4.8,17,Bronze,0,SkyMind
Economy,2012,AsiaJet,2.5,24,Gold,0,AeroGulf
Business,773,PacificAir,1.6,23,Gold,1,EuroWings
Business,2882,SkyMind,3.9,25,Bronze,0,AeroGulf
First,3229,EuroWings,1.6,28,Bronze,0,SkyMind
First,3666,AsiaJet,1.9,24,Silver,1,SkyMind
First,2061,AsiaJet,1.3,27,Bronze,0,AeroGulf
First,2327,EuroWings,3.8,23,Silver,1,AeroGulf
Economy,4254,PacificAir,1.8,7,Platinum,0,SkyMind
Business,3472,AeroGulf,4.3,10,Platinum,0,SkyMind
Economy,1090,PacificAir,3.5,27,Bronze,1,PacificAir
Economy,516,PacificAir,2.6,13,Gold,1,EuroWings
Economy,3771,AsiaJet,4.9,16,Bronze,0,SkyMind
Economy,679,AeroGulf,1.8,1,Bronze,1,EuroWings
Economy,4678,SkyMind,4.0,6,Bronze,1,SkyMind
First,646,AeroGulf,1.6,9,Bronze,1,EuroWings
Economy,3501,EuroWings,1.9,15,Gold,1,SkyMind
Economy,4447,AeroGulf,1.5,7,Bronze,1,SkyMind
Business,4754,EuroWings,4.7,28,Platinum,1,SkyMind
Economy,2480,AsiaJet,2.9,21,Gold,1,AeroGulf
Economy,4690,EuroWings,4.4,29,Silver,1,SkyMind
Business,1790,AsiaJet,1.2,17,Gold,0,PacificAir
Business,1745,SkyMind,3.3,26,Bronze,1,PacificAir
Business,837,AeroGulf,2.8,29,Silver,0,EuroWings
First,1115,SkyMind,4.9,6,Bronze,0,PacificAir
First,3594,SkyMind,4.2,11,Gold,1,SkyMind
First,2255,PacificAir,4.7,4,Gold,1,AeroGulf
Economy,4543,AeroGulf,2.9,19,Bronze,0,SkyMind
Economy,3779,PacificAir,4.2,21,Bronze,0,SkyMind
Business,4471,EuroWings,1.8,12,Silver,0,SkyMind
Business,1401,AsiaJet,3.8,17,Gold,0,PacificAir
Business,2075,EuroWings,4.9,11,Silver,0,AeroGulf
Business,3301,PacificAir,3.4,23,Gold,1,SkyMind
Business,2726,EuroWings,1.1,11,Bronze,1,AeroGulf
Economy,3059,AsiaJet,2.4,19,Platinum,0,SkyMind
Business,899,AsiaJet,3.4,22,Silver,1,EuroWings
First,1782,EuroWings,1.5,16,Bronze,1,PacificAir
First,1781,AeroGulf,2.6,7,Platinum,0,PacificAir
First,4024,SkyMind,2.8,11,Bronze,1,SkyMind
Economy,4454,AsiaJet,4.5,20,Platinum,1,SkyMind
First,187,AeroGulf,3.3,7,Silver,1,AsiaJet
First,4441,EuroWings,3.2,10,Platinum,1,SkyMind
Economy,1761,SkyMind,2.5,12,Bronze,1,PacificAir
Business,3832,AsiaJet,2.5,15,Gold,0,SkyMind
First,2151,SkyMind,3.3,13,Platinum,0,AeroGulf
Business,2642,AeroGulf,1.7,16,Gold,0,AeroGulf
Economy,548,AeroGulf,2.9,24,Silver,0,EuroWings
First,2878,AeroGulf,3.0,10,Silver,1,AeroGulf
Business,2933,PacificAir,3.7,11,Platinum,1,AeroGulf
Economy,4232,AsiaJet,3.4,16,Gold,0,SkyMind
First,1409,EuroWings,2.3,25,Platinum,1,PacificAir
Business,339,EuroWings,3.1,9,Gold,0,AsiaJet
Economy,4520,AsiaJet,1.1,23,Gold,1,SkyMind
First,1332,AeroGulf,3.7,1,Bronze,1,PacificAir
First,4279,AeroGulf,1.9,28,Bronze,0,SkyMind
Economy,756,PacificAir,4.3,13,Silver,1,EuroWings
Economy,4279,AeroGulf,3.9,21,Gold,1,SkyMind
First,366,SkyMind,1.6,26,Bronze,1,AsiaJet
First,4219,PacificAir,2.3,16,Platinum,1,SkyMind
Economy,3029,AeroGulf,4.0,1,Silver,0,SkyMind
Business,2780,AsiaJet,3.8,17,Silver,0,AeroGulf
First,2173,EuroWings,3.2,2,Gold,1,AeroGulf
First,1305,EuroWings,2.2,15,Bronze,1,PacificAir
Economy,1611,AeroGulf,3.1,3,Bronze,0,PacificAir
Business,498,AeroGulf,5.0,25,Platinum,1,AsiaJet
Business,3583,EuroWings,2.6,14,Platinum,0,SkyMind
Economy,2188,PacificAir,3.1,3,Bronze,0,AeroGulf
Business,4998,EuroWings,4.2,20,Bronze,1,SkyMind
Economy,1051,SkyMind,1.1,19,Bronze,1,PacificAir
Economy,730,PacificAir,4.7,2,Gold,0,EuroWings
First,4834,EuroWings,4.4,27,Platinum,1,SkyMind
Economy,2820,AsiaJet,3.2,4,Gold,0,AeroGulf
First,4633,PacificAir,3.1,26,Bronze,0,SkyMind
First,2291,AeroGulf,4.7,25,Silver,1,AeroGulf
Economy,688,AsiaJet,3.8,6,Gold,1,EuroWings
First,918,PacificAir,4.1,1,Bronze,0,EuroWings
Economy,4597,PacificAir,1.9,6,Platinum,0,SkyMind
First,2801,PacificAir,1.0,29,Bronze,1,AeroGulf
First,4470,PacificAir,2.8,21,Platinum,1,SkyMind
Economy,4313,AeroGulf,1.4,8,Platinum,1,SkyMind
Economy,3823,SkyMind,2.7,15,Bronze,1,SkyMind
Business,1582,AeroGulf,3.5,25,Bronze,1,PacificAir
First,2728,AsiaJet,3.4,20,Platinum,0,AeroGulf
Economy,3155,SkyMind,3.8,15,Silver,0,SkyMind
First,4287,AsiaJet,1.6,24,Platinum,0,SkyMind
Business,3107,SkyMind,2.0,8,Platinum,1,SkyMind
Business,1430,SkyMind,3.8,14,Gold,0,PacificAir
First,4361,SkyMind,1.7,20,Platinum,0,SkyMind
Economy,1541,PacificAir,1.9,1,Gold,0,PacificAir
First,4008,EuroWings,3.7,4,Silver,0,SkyMind
Business,2478,SkyMind,3.9,26,Gold,1,AeroGulf
Economy,4083,PacificAir,2.2,23,Platinum,0,SkyMind
First,4363,PacificAir,4.5,3,Gold,1,SkyMind
Economy,1829,SkyMind,4.3,6,Gold,1,PacificAir
First,2596,EuroWings,3.4,18,Silver,0,AeroGulf
Business,1708,PacificAir,4.3,10,Bronze,1,PacificAir
First,2059,EuroWings,4.9,7,Bronze,0,AeroGulf
First,609,AsiaJet,4.8,24,Silver,1,EuroWings
Economy,1940,SkyMind,1.5,12,Gold,0,PacificAir
Economy,4309,EuroWings,2.5,25,Gold,0,SkyMind
Economy,2275,AsiaJet,3.9,16,Bronze,0,AeroGulf
Economy,3626,SkyMind,1.4,17,Silver,1,SkyMind
Economy,2562,PacificAir,1.5,9,Bronze,0,AeroGulf
Business,2058,SkyMind,2.6,3,Bronze,0,AeroGulf
Business,2924,AsiaJet,1.0,23,Silver,1,AeroGulf
First,4848,AeroGulf,2.8,22,Silver,0,SkyMind
Economy,4392,AeroGulf,2.6,15,Bronze,1,SkyMind
Business,1635,SkyMind,3.8,25,Platinum,0,PacificAir
First,2622,PacificAir,1.4,25,Bronze,1,AeroGulf
First,3469,AeroGulf,2.8,20,Platinum,1,SkyMind
Economy,4278,AsiaJet,4.9,5,Gold,1,SkyMind
Economy,1472,PacificAir,4.5,29,Platinum,0,PacificAir
Business,3863,PacificAir,3.9,4,Silver,1,SkyMind
Economy,4351,AsiaJet,4.9,25,Silver,0,SkyMind
First,1329,EuroWings,1.4,5,Bronze,0,PacificAir
Business,2645,PacificAir,2.0,25,Gold,1,AeroGulf
Business,1201,AeroGulf,1.6,8,Platinum,0,PacificAir
Economy,4726,PacificAir,4.1,2,Platinum,0,SkyMind
Business,2867,SkyMind,4.4,22,Platinum,1,AeroGulf
First,3078,AsiaJet,3.6,7,Silver,1,SkyMind
First,2564,PacificAir,2.0,19,Gold,1,AeroGulf
Economy,3722,AeroGulf,1.5,15,Silver,0,SkyMind
Business,776,AsiaJet,3.2,25,Silver,1,EuroWings
Economy,4120,AsiaJet,1.6,20,Silver,1,SkyMind
Economy,4535,EuroWings,1.6,4,Silver,1,SkyMind
First,4859,PacificAir,3.2,15,Platinum,0,SkyMind
First,1797,AeroGulf,1.4,4,Platinum,1,PacificAir
Economy,1439,AeroGulf,4.7,3,Gold,0,PacificAir
First,163,EuroWings,1.8,16,Gold,0,AsiaJet
Business,4763,PacificAir,4.3,22,Gold,1,SkyMind
Business,4980,AsiaJet,3.3,25,Gold,1,SkyMind
Economy,4529,PacificAir,1.6,29,Platinum,0,SkyMind
Economy,3842,EuroWings,4.9,6,Bronze,0,SkyMind
Economy,4004,SkyMind,3.1,18,Gold,0,SkyMind
Business,554,PacificAir,2.0,15,Bronze,0,EuroWings
First,1794,SkyMind,1.9,7,Bronze,0,PacificAir
Economy,3966,SkyMind,1.5,24,Bronze,1,SkyMind
Economy,1383,SkyMind,3.2,25,Gold,1,PacificAir
First,2267,PacificAir,3.5,19,Silver,1,AeroGulf
Business,636,PacificAir,3.3,25,Platinum,0,EuroWings
Business,513,AeroGulf,4.4,22,Bronze,0,EuroWings
Economy,1317,AeroGulf,1.3,26,Gold,0,PacificAir
Economy,2229,AsiaJet,1.1,16,Gold,1,AeroGulf
Economy,3466,SkyMind,4.4,27,Silver,0,SkyMind
Business,4439,AeroGulf,1.5,7,Gold,1,SkyMind
First,4559,EuroWings,1.6,29,Gold,0,SkyMind
Economy,3358,AeroGulf,3.2,17,Gold,0,SkyMind
Economy,3038,AsiaJet,2.6,27,Silver,0,SkyMind
Business,3340,EuroWings,3.7,9,Gold,1,SkyMind
First,2099,AsiaJet,1.8,3,Platinum,0,AeroGulf
First,1794,EuroWings,4.4,2,Gold,0,PacificAir
First,847,EuroWings,1.9,28,Gold,1,EuroWings
First,590,EuroWings,2.7,14,Silver,1,EuroWings
Economy,134,AsiaJet,1.1,25,Platinum,0,AsiaJet
Business,4785,AeroGulf,4.9,3,Bronze,0,SkyMind
Business,1686,AeroGulf,2.2,16,Platinum,0,PacificAir
First,1924,AeroGulf,3.1,11,Bronze,0,PacificAir
Economy,717,SkyMind,2.9,7,Gold,0,EuroWings
Economy,4186,AsiaJet,2.6,19,Gold,0,SkyMind
Business,2221,PacificAir,1.7,2,Silver,0,AeroGulf
First,4415,EuroWings,3.5,12,Gold,0,SkyMind
Business,2393,AeroGulf,3.2,9,Platinum,0,AeroGulf
Business,1319,PacificAir,2.8,3,Platinum,1,PacificAir
First,3147,AeroGulf,3.2,15,Silver,1,SkyMind
First,3607,AsiaJet,3.6,1,Gold,1,SkyMind
Business,3201,PacificAir,4.4,9,Platinum,0,SkyMind
First,2308,PacificAir,1.9,3,Gold,0,AeroGulf
First,3915,PacificAir,4.1,16,Gold,0,SkyMind
First,1177,EuroWings,4.3,13,Platinum,0,PacificAir
Economy,1486,AeroGulf,4.0,4,Bronze,0,PacificAir
First,198,AeroGulf,4.3,3,Bronze,1,AsiaJet
Business,4740,SkyMind,3.3,15,Gold,1,SkyMind
Business,4488,AeroGulf,1.1,18,Platinum,0,SkyMind
Economy,2573,EuroWings,3.8,9,Platinum,1,AeroGulf
Business,2741,PacificAir,4.4,1,Bronze,0,AeroGulf
Business,384,AsiaJet,2.1,23,Platinum,0,AsiaJet
First,987,AsiaJet,4.0,1,Platinum,1,EuroWings
Business,684,SkyMind,1.4,2,Silver,1,EuroWings
Business,3558,SkyMind,3.6,11,Bronze,1,SkyMind
First,687,PacificAir,1.2,14,Bronze,0,EuroWings
Economy,2321,EuroWings,3.2,4,Silver,1,AeroGulf
Economy,194,PacificAir,4.5,3,Platinum,0,AsiaJet
First,324,EuroWings,2.5,5,Gold,0,AsiaJet
First,3172,SkyMind,1.7,10,Platinum,0,SkyMind
Economy,4676,EuroWings,3.7,28,Platinum,0,SkyMind
Economy,2450,PacificAir,4.4,16,Silver,1,AeroGulf
Economy,1758,PacificAir,2.2,8,Silver,0,PacificAir
Economy,2468,AeroGulf,3.3,28,Silver,1,AeroGulf
Economy,4335,EuroWings,3.6,21,Bronze,0,SkyMind
Economy,4583,SkyMind,2.6,29,Gold,0,SkyMind
Economy,1545,AsiaJet,1.3,18,Bronze,1,PacificAir
Economy,1120,AeroGulf,4.3,8,Bronze,1,PacificAir
Business,3680,SkyMind,4.4,11,Silver,0,SkyMind
First,1457,SkyMind,1.4,9,Bronze,1,PacificAir
Business,1537,SkyMind,3.4,17,Bronze,0,PacificAir
Economy,3154,EuroWings,3.9,24,Gold,0,SkyMind
First,407,SkyMind,1.4,4,Gold,0,AsiaJet
First,848,AsiaJet,4.4,29,Gold,0,EuroWings
First,1025,AsiaJet,2.4,7,Silver,1,PacificAir
Business,3101,PacificAir,3.4,23,Silver,1,SkyMind
First,1885,AeroGulf,2.5,16,Gold,1,PacificAir
Economy,4416,AsiaJet,3.1,28,Platinum,0,SkyMind
First,4121,EuroWings,3.6,26,Silver,1,SkyMind
Economy,1813,AeroGulf,3.8,24,Silver,0,PacificAir
Business,4391,EuroWings,2.6,6,Silver,0,SkyMind
Economy,1000,AsiaJet,1.4,15,Bronze,1,EuroWings
Business,197,AeroGulf,2.4,4,Silver,1,AsiaJet
Business,2801,AsiaJet,4.3,15,Gold,0,AeroGulf
Business,3891,SkyMind,3.4,27,Gold,1,SkyMind
Economy,3283,AeroGulf,2.8,8,Bronze,0,SkyMind
Business,3978,AsiaJet,3.7,27,Gold,0,SkyMind
Economy,1318,EuroWings,4.3,16,Silver,1,PacificAir
First,172,AeroGulf,4.5,25,Platinum,0,AsiaJet
First,3739,AeroGulf,3.9,10,Silver,1,SkyMind
Economy,2737,AeroGulf,1.4,29,Bronze,1,AeroGulf
First,1369,PacificAir,1.9,1,Platinum,1,PacificAir
Economy,1789,SkyMind,4.9,28,Platinum,1,PacificAir
First,3957,AeroGulf,3.9,12,Bronze,1,SkyMind
Economy,2344,AsiaJet,4.6,3,Platinum,0,AeroGulf
Economy,2168,EuroWings,3.1,12,Silver,1,AeroGulf
Economy,4422,AsiaJet,1.4,21,Gold,1,SkyMind
Business,4875,PacificAir,1.6,27,Bronze,1,SkyMind
Business,4725,AeroGulf,4.8,25,Platinum,0,SkyMind
First,1655,SkyMind,2.4,24,Gold,0,PacificAir
Economy,1046,EuroWings,2.5,23,Bronze,0,PacificAir
First,2571,PacificAir,4.9,29,Platinum,0,AeroGulf
Business,1047,AeroGulf,2.9,27,Silver,0,PacificAir
First,2662,SkyMind,1.1,14,Bronze,0,AeroGulf
Business,4010,EuroWings,3.2,11,Silver,1,SkyMind
Business,1260,EuroWings,3.9,14,Platinum,1,PacificAir
Business,2679,EuroWings,3.2,12,Gold,1,AeroGulf
Business,620,EuroWings,3.6,6,Bronze,0,EuroWings
Economy,626,SkyMind,3.1,24,Bronze,0,EuroWings
First,4609,AeroGulf,1.9,14,Gold,1,SkyMind
First,3699,AeroGulf,1.4,15,Gold,1,SkyMind
First,1560,SkyMind,1.1,1,Bronze,1,PacificAir
Economy,711,EuroWings,3.7,18,Bronze,0,EuroWings
Business,4790,AsiaJet,2.6,24,Gold,1,SkyMind
First,1650,EuroWings,3.0,27,Bronze,0,PacificAir
Economy,1941,AeroGulf,1.5,15,Gold,1,PacificAir
Business,1922,SkyMind,3.2,22,Bronze,0,PacificAir
Business,3518,EuroWings,2.0,15,Bronze,1,SkyMind
Business,2740,SkyMind,4.3,23,Bronze,0,AeroGulf
First,3860,EuroWings,3.4,21,Bronze,1,SkyMind
Business,3890,AsiaJet,1.3,28,Platinum,1,SkyMind
First,977,SkyMind,1.9,12,Gold,0,EuroWings
Business,3678,AsiaJet,1.9,14,Gold,1,SkyMind
Business,3027,SkyMind,4.2,23,Gold,1,SkyMind
First,1884,EuroWings,3.0,25,Platinum,0,PacificAir
First,1192,SkyMind,3.6,5,Bronze,1,PacificAir
Business,3600,AsiaJet,2.9,7,Gold,1,SkyMind
First,4507,AeroGulf,2.6,4,Bronze,0,SkyMind
First,431,AsiaJet,4.3,5,Gold,1,AsiaJet
